"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,29.18,29.360001,28.58,28.68,83300,28.68
2012-01-04,28.540001,28.58,28.120001,28.120001,13600,28.120001
2012-01-05,28.280001,28.280001,27.34,27.4,28300,27.4
2012-01-06,27.65,27.700001,27.280001,27.280001,10700,27.280001
2012-01-09,28.530001,29.940001,28.530001,29.629999,46000,29.629999
2012-01-10,31.200001,32.240002,31.15,32.220001,58200,32.220001
2012-01-11,31.549999,32.220001,31.190001,32.16,20500,32.16
2012-01-12,31.99,32.049999,31.58,31.74,13000,31.74
2012-01-13,30.790001,31.02,30.49,30.969999,20000,30.969999
2012-01-17,30.84,31.15,30.639999,31,21100,31
2012-01-18,30.83,31.32,30.77,31.32,10900,31.32
2012-01-19,31.68,31.780001,31.42,31.6,14200,31.6
2012-01-20,31.540001,31.540001,30.91,31.040001,19900,31.040001
2012-01-23,30.780001,31.280001,30.77,31.07,33800,31.07
2012-01-24,31.690001,33.099998,31.65,32.98,45500,32.98
2012-01-25,33.18,33.389999,32.849998,33.389999,24900,33.389999
2012-01-26,33.57,33.68,33.23,33.459999,7700,33.459999
2012-01-27,32.790001,32.82,32.150002,32.200001,88200,32.200001
2012-01-30,31.940001,31.940001,31,31.07,16400,31.07
2012-01-31,31.719999,31.84,31.190001,31.48,11500,31.48
2012-02-01,31.6,31.6,30.309999,30.370001,30300,30.370001
2012-02-02,30.379999,30.58,30.110001,30.540001,13500,30.540001
2012-02-03,30.799999,31.99,30.709999,31.940001,22200,31.940001
2012-02-06,31.190001,31.190001,30.530001,30.959999,19000,30.959999
2012-02-07,30.66,31,30.610001,30.889999,12500,30.889999
2012-02-08,31.049999,31.16,30.549999,30.67,15600,30.67
2012-02-09,30.57,30.65,29.799999,30.09,23900,30.09
2012-02-10,29.42,29.5,29,29.15,16800,29.15
2012-02-13,29.35,30.17,29.26,29.9,28400,29.9
2012-02-14,29.66,31.52,29.540001,31.49,34600,31.49
2012-02-15,31.52,32.810001,31.389999,32.57,33400,32.57
2012-02-16,32.5,32.900002,32.48,32.650002,10400,32.650002
2012-02-17,31.99,32.119999,31.620001,31.879999,17400,31.879999
2012-02-21,32.389999,33.290001,32.389999,33.25,18300,33.25
2012-02-22,33,33.380001,33,33.310001,15500,33.310001
2012-02-23,32.5,32.639999,31.389999,31.83,19800,31.83
2012-02-24,32.200001,32.34,31.91,32.259998,6200,32.259998
2012-02-27,32.400002,33.240002,32.330002,33.220001,12000,33.220001
2012-02-28,33.310001,33.310001,32.040001,32.369999,15600,32.369999
2012-02-29,31.799999,32.029999,31.26,31.780001,13500,31.780001
2012-03-01,32.02,32.240002,32.02,32.220001,3200,32.220001
2012-03-02,31.860001,31.940001,31.700001,31.719999,5500,31.719999
2012-03-05,31.6,31.73,30.9,31.25,6700,31.25
2012-03-06,31.290001,31.290001,30.879999,31.190001,6700,31.190001
2012-03-07,30.690001,31.309999,30.690001,31.309999,6200,31.309999
2012-03-08,31.950001,32.529999,31.950001,32.299999,16400,32.299999
2012-03-09,32.25,32.849998,32.119999,32.48,12100,32.48
2012-03-12,32.349998,32.419998,32.290001,32.400002,1500,32.400002
2012-03-13,31.76,32.41,31.74,32.049999,10200,32.049999
2012-03-14,31.65,31.969999,31.35,31.360001,12700,31.360001
2012-03-15,29.84,30.25,29.559999,30.200001,52600,30.200001
2012-03-16,30.209999,30.74,29.9,30.559999,14800,30.559999
2012-03-19,30.74,31.290001,30.450001,31.200001,10100,31.200001
2012-03-20,31.6,32.400002,31.57,32.110001,19300,32.110001
2012-03-21,32.59,32.619999,31.610001,31.67,13500,31.67
2012-03-22,31.389999,31.49,30.93,31.219999,10800,31.219999
2012-03-23,31,31.32,30.870001,31.23,15700,31.23
2012-03-26,31.43,31.700001,31.32,31.639999,6200,31.639999
2012-03-27,32.299999,32.369999,31.530001,31.549999,8600,31.549999
2012-03-28,32.16,32.16,30.98,31,10900,31
2012-03-29,30.610001,30.73,29.75,30,14000,30
2012-03-30,30.469999,30.59,29.84,30.09,23600,30.09
