"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,56.060001,56.889999,55.599998,56.330002,18200,56.330002
2012-01-04,57,57.23,55.91,56.200001,15700,56.200001
2012-01-05,55.549999,55.830002,54.25,54.490002,25600,54.490002
2012-01-06,54.369999,55.470001,53.990002,55.299999,15300,55.299999
2012-01-09,55.209999,55.759998,55.049999,55.290001,25000,55.290001
2012-01-10,55.830002,56.400002,55.689999,56.400002,27600,56.400002
2012-01-11,57.57,58.77,57.459999,58.43,17900,58.43
2012-01-12,59.23,59.23,58.040001,58.549999,17800,58.549999
2012-01-13,58.150002,58.150002,56.130001,56.48,25100,56.48
2012-01-17,56.009998,56.720001,55.209999,56.349998,19100,56.349998
2012-01-18,55.57,56.580002,55.57,55.900002,4900,55.900002
2012-01-19,56.330002,56.560001,56.110001,56.450001,3600,56.450001
2012-01-20,56.650002,57.080002,55.950001,56.310001,8000,56.310001
2012-01-23,55.349998,55.419998,54.400002,54.950001,26500,54.950001
2012-01-24,54.66,55.16,54.400002,55.080002,4900,55.080002
2012-01-25,55,55.040001,54.080002,54.540001,22300,54.540001
2012-01-26,54.630001,55.220001,54.32,54.939999,30900,54.939999
2012-01-27,54.48,54.700001,54.139999,54.369999,11700,54.369999
2012-01-30,53.779999,53.959999,53.75,53.959999,8600,53.959999
2012-01-31,54.529999,54.700001,53.310001,53.450001,11100,53.450001
2012-02-01,53.509998,53.720001,53.310001,53.400002,3900,53.400002
2012-02-02,53.290001,53.919998,52.700001,53.900002,15400,53.900002
2012-02-03,54.349998,54.369999,53.650002,53.73,14700,53.73
2012-02-06,53.639999,54.939999,53.630001,54.939999,14800,54.939999
2012-02-07,54.349998,55.470001,53.880001,55,24500,55
2012-02-08,55.130001,55.330002,54.75,55.040001,27100,55.040001
2012-02-09,55.139999,55.25,53.52,53.540001,36600,53.540001
2012-02-10,53.720001,54.060001,53.470001,53.849998,3300,53.849998
2012-02-13,54,54,52.5,52.779999,26600,52.779999
2012-02-14,52.279999,52.360001,50.610001,50.759998,55200,50.759998
2012-02-15,50.490002,50.490002,49.380001,50.099998,44200,50.099998
2012-02-16,49.169998,49.779999,48.66,49.639999,22800,49.639999
2012-02-17,49.82,50.029999,49.330002,49.939999,32300,49.939999
2012-02-21,50.66,50.889999,50.5,50.75,12000,50.75
2012-02-22,50.060001,50.139999,49.650002,49.720001,15100,49.720001
2012-02-23,50.290001,50.52,49.580002,49.720001,14900,49.720001
2012-02-24,50.02,50.32,49.799999,50.32,10000,50.32
2012-02-27,49.73,50.5,49.529999,50.18,10300,50.18
2012-02-28,50.82,50.82,49.799999,50.68,9700,50.68
2012-02-29,50.23,50.23,49.509998,49.919998,16800,49.919998
2012-03-01,49.830002,50.41,49.77,50.349998,11000,50.349998
2012-03-02,49.900002,50.029999,49.23,49.73,27100,49.73
2012-03-05,49.380001,49.689999,49.09,49.66,9600,49.66
2012-03-06,48.990002,49.139999,47.25,47.400002,42000,47.400002
2012-03-07,46.25,46.349998,45.82,46.209999,118700,46.209999
2012-03-08,46.119999,46.549999,45.599998,46.5,45100,46.5
2012-03-09,45.970001,46.450001,45.459999,45.669998,28300,45.669998
2012-03-12,44.919998,45.459999,44.5,45.369999,35300,45.369999
2012-03-13,45.220001,45.779999,45.169998,45.580002,46200,45.580002
2012-03-14,45.57,45.66,44.82,44.849998,33500,44.849998
2012-03-15,45.380001,45.720001,45.130001,45.720001,9900,45.720001
2012-03-16,45.18,45.220001,44.59,44.900002,19200,44.900002
2012-03-19,45.040001,45.419998,44.950001,45.080002,27200,45.080002
2012-03-20,45.439999,45.439999,44.959999,45.02,27800,45.02
2012-03-21,45.34,46.189999,45.169998,45.310001,51200,45.310001
2012-03-22,45.139999,45.189999,42.810001,43.060001,117900,43.060001
2012-03-23,43.740002,43.84,43.09,43.759998,35600,43.759998
2012-03-26,44.150002,44.25,43.75,43.880001,22400,43.880001
2012-03-27,44.619999,46.07,44.450001,45.98,65500,45.98
