"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,8.23,8.3,8.02,8.04,7093200,7.335219
2012-01-04,8.03,8.14,7.83,8.01,7412900,7.307848
2012-01-05,8.03,8.35,7.87,8.33,10509800,7.599796
2012-01-06,8.26,8.43,8.24,8.32,6683300,7.590674
2012-01-09,8.34,8.5,8.26,8.28,9015700,7.55418
2012-01-10,8.35,8.39,8.13,8.27,6933800,7.54506
2012-01-11,8.34,8.62,8.22,8.61,6801100,7.855251
2012-01-12,8.6,8.98,8.47,8.87,12891800,8.092463
2012-01-13,8.7,9.01,8.62,8.85,10127900,8.074217
2012-01-17,8.87,8.91,8.66,8.73,6881500,7.964734
2012-01-18,8.79,9.12,8.63,8.92,14086800,8.138078
2012-01-19,8.94,9.47,8.92,9.33,14325100,8.512136
2012-01-20,9.3,9.5,9.25,9.41,7844600,8.585125
2012-01-23,9.42,9.56,9.29,9.29,15346500,8.475645
2012-01-24,9.29,9.49,9.19,9.38,12709100,8.557757
2012-01-25,9.92,10.3,9.92,9.96,41332200,9.086913
2012-01-26,10.28,10.55,10.11,10.17,31724900,9.278504
2012-01-27,10.08,10.58,10.01,10.39,12840700,9.479221
2012-01-30,10.42,10.88,10.27,10.77,15348800,9.825911
2012-01-31,10.77,10.8,10.3,10.55,14524000,9.625194
2012-02-01,10.68,11.01,10.61,10.9,11502100,9.944513
2012-02-02,10.9,11.17,10.82,11.1,10674900,10.126982
2012-02-03,11.25,11.58,11.25,11.3,15182000,10.30945
2012-02-06,11.26,11.28,10.92,10.99,9530600,10.026625
2012-02-07,11.03,11.24,10.93,10.97,8105500,10.008376
2012-02-08,10.91,11.04,10.7,10.99,7824800,10.026625
2012-02-09,11,11.15,10.78,11.12,8789600,10.145229
2012-02-10,10.93,11.15,10.81,10.89,8179100,9.93539
2012-02-13,10.94,11.24,10.91,11.15,7591600,10.172597
2012-02-14,11.1,11.15,10.82,10.94,9437400,9.981008
2012-02-15,10.94,11.08,10.74,10.83,8594100,9.880649
2012-02-16,10.8,10.99,10.67,10.93,10332600,9.971883
2012-02-17,11,11.05,10.68,10.83,7612000,9.880649
2012-02-21,10.83,10.83,9.57,10.05,26706000,9.169025
2012-02-22,10,10.21,9.93,9.93,9361000,9.059545
2012-02-23,10.02,10.04,9.57,9.69,10959500,8.840581
2012-02-24,9.74,9.86,9.49,9.53,9416100,8.694605
2012-02-27,9.57,9.74,9.4,9.66,10316600,8.813209
2012-02-28,9.67,9.92,9.6,9.9,12150400,9.032172
2012-02-29,9.85,10.07,9.75,9.81,9454600,8.950062
2012-03-01,9.8,9.93,9.59,9.64,10799300,8.794962
2012-03-02,9.67,10.09,9.62,9.77,15245600,8.913567
2012-03-05,9.71,9.75,9.41,9.67,12015200,8.822335
2012-03-06,9.53,9.82,9.29,9.36,10179200,8.539508
2012-03-07,9.39,9.6,9.34,9.37,7012500,8.548634
2012-03-08,9.31,9.56,9.24,9.47,10089500,8.639868
2012-03-09,9.6,9.6,9.34,9.37,10153900,8.548634
2012-03-12,9.4,9.53,9.19,9.19,11235700,8.384413
2012-03-13,9.38,9.4,9.14,9.31,16418800,8.493892
2012-03-14,9.3,9.31,9.07,9.3,12680700,8.48477
2012-03-15,9.29,9.83,9.25,9.63,22472900,8.78584
2012-03-16,9.66,9.69,9.21,9.21,14737100,8.402657
2012-03-19,9.25,9.41,9.17,9.31,9817500,8.493892
2012-03-20,9.36,9.63,9.24,9.53,9882800,8.694605
2012-03-21,9.58,9.93,9.45,9.74,21023800,8.886197
2012-03-22,9.73,9.96,9.46,9.53,14986700,8.694605
2012-03-23,9.51,9.69,9.45,9.62,9249700,8.776716
2012-03-26,9.68,9.9,9.53,9.88,10079500,9.013927
2012-03-27,9.85,9.92,9.72,9.81,8508500,8.950062
2012-03-28,9.87,10.28,9.86,10,17276600,9.123407
2012-03-29,10.01,10.11,9.76,10.07,11634700,9.187269
2012-03-30,10.02,10.02,9.73,9.92,11853600,9.05042
2012-04-02,9.88,10.08,9.8,10.01,10551700,9.132531
2012-04-03,10.08,10.58,10.07,10.32,16724700,9.415355
2012-04-04,10.25,10.62,10.2,10.48,12339800,9.561327
2012-04-05,10.4,10.64,10.29,10.37,8456300,9.460972
2012-04-09,10.3,10.4,10.15,10.29,5835400,9.387984
2012-04-10,10.26,10.36,9.78,9.81,9603000,8.950062
2012-04-11,9.94,10.08,9.84,9.91,6920800,9.041296
