"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,42.18,42.740002,42.16,42.709999,70761600,36.208694
2010-01-05,42.91,43.169998,42.759998,43.02,50196300,36.471504
2010-01-06,43.080002,43.290001,43.009998,43.110001,50670000,36.547813
2010-01-07,42.849998,42.98,42.619999,42.860001,41803700,36.335861
2010-01-08,42.880001,43.220001,42.740002,43.200001,41118100,36.624107
2010-01-11,43.450001,43.470001,42.900002,43.110001,42546400,36.547813
2010-01-12,42.610001,42.700001,42.200001,42.419998,65902300,35.962845
2010-01-13,42.59,42.700001,42.150002,42.549999,48040100,36.073051
2010-01-14,42.52,42.619999,42.369999,42.439999,52893800,35.979794
2010-01-15,42.32,42.380001,41.830002,41.950001,76681800,35.564377
2010-01-19,42.080002,42.799999,42.07,42.799999,57597300,36.284996
2010-01-20,42.110001,42.110001,41.43,41.77,78934700,35.411781
2010-01-21,41.549999,41.68,40.48,40.509998,116104300,34.343578
2010-01-22,40.220001,40.349998,39.529999,39.610001,108173800,33.580574
2010-01-25,40.130001,40.32,39.669998,39.900002,86170400,33.826439
2010-01-26,39.130001,39.599998,35.810001,39.07,89832400,33.122776
2010-01-27,38.790001,39.119999,38.380001,38.970001,91623300,33.037998
2010-01-28,39.32,39.48,38.360001,38.700001,98086600,32.809097
2010-01-29,39.150002,39.259998,38.080002,38.279999,151695100,32.453033
2010-02-01,38.639999,39.349998,38.610001,39.310001,81928100,33.326241
2010-02-02,39.389999,39.709999,39.02,39.630001,86791200,33.59753
2010-02-03,39.639999,39.82,39.27,39.400002,64323800,33.40255
2010-02-04,38.75,38.799999,37.599998,37.619999,131791500,31.893492
2010-02-05,37.290001,37.400002,36.18,37.200001,165899900,31.53743
2010-02-08,37.18,37.48,36.82,36.830002,78752400,31.223749
2010-02-09,37.73,38.369999,37.43,38.029999,133342000,32.241081
2010-02-10,38.040001,38.290001,37.509998,37.93,84646000,32.156307
2010-02-11,38.189999,38.970001,37.869999,38.93,90206600,33.004086
2010-02-12,38.139999,38.580002,37.869999,38.439999,63053000,32.588673
2010-02-16,39.02,39.459999,38.75,39.43,73196700,33.427986
2010-02-17,39.73,39.759998,39.330002,39.57,63631100,33.546669
2010-02-18,39.259998,39.860001,39.200001,39.720001,61597600,33.673836
2010-02-19,39.27,39.630001,39.16,39.380001,77264800,33.38559
2010-02-22,39.619999,39.639999,39.299999,39.43,56446600,33.427986
2010-02-23,39.209999,39.43,38.490002,38.52,103220800,32.656502
2010-02-24,38.779999,39.07,38.549999,38.889999,73043700,32.970177
2010-02-25,37.970001,38.639999,37.759998,38.57,73641500,32.698883
2010-02-26,38.610001,39.040001,38.369999,38.959999,65727300,33.029514
2010-03-01,39.43,39.73,39.330002,39.619999,73146100,33.589054
2010-03-02,40.02,40.299999,39.849998,40.07,66353000,33.970554
2010-03-03,40.279999,40.619999,39.970001,40.119999,68779900,34.012947
2010-03-04,40.150002,40.200001,39.66,39.91,61065500,33.834919
2010-03-05,40.459999,40.950001,40.310001,40.950001,78177700,34.716606
2010-03-08,41.040001,41.189999,40.919998,40.98,56724000,34.742039
2010-03-09,40.799999,41.400002,40.790001,41.209999,66759800,34.937031
2010-03-10,41.299999,41.669998,41.209999,41.5,73994500,35.182888
2010-03-11,41.259998,41.549999,41.040001,41.509998,42415700,35.191353
2010-03-12,41.700001,41.709999,41.25,41.369999,48949200,35.072674
2010-03-15,41.130001,41.240002,40.810001,41.07,43560300,34.81834
2010-03-16,41.209999,41.619999,41.049999,41.599998,58417000,35.267654
2010-03-17,42.009998,42.25,41.869999,42.049999,72017100,35.649162
2010-03-18,41.970001,42.029999,41.529999,41.73,73867900,35.377872
2010-03-19,41.189999,41.869999,41.130001,41.189999,65993900,34.920071
2010-03-22,40.77,41.380001,40.669998,41.34,57583400,35.047245
2010-03-23,41.389999,41.66,41.200001,41.630001,50528500,35.293091
2010-03-24,41.189999,41.360001,41.009998,41.009998,65081100,34.767467
2010-03-25,41.349998,41.5,40.82,40.900002,72397600,34.674213
2010-03-26,41.240002,41.389999,40.75,41.099998,69798700,34.843769
2010-03-29,41.529999,41.860001,41.439999,41.84,57961300,35.471134
2010-03-30,41.939999,42.119999,41.720001,42,50327500,35.60677
2010-03-31,41.860001,42.23,41.84,42.119999,52858500,35.7085
2010-04-01,42.740002,43.220001,42.740002,43.220001,96281100,36.641064
2010-04-05,43.439999,43.75,43.34,43.610001,63633700,36.971687
2010-04-06,43.439999,43.84,43.41,43.740002,42926300,37.081909
2010-04-07,43.560001,43.669998,43.130001,43.360001,55642000,36.759754
2010-04-08,43.07,43.560001,42.860001,43.509998,52083200,36.886913
2010-04-09,43.599998,46.66,43.529999,43.779999,46651000,37.115818
2010-04-12,43.450001,43.669998,43.43,43.43,43558300,36.819107
2010-04-13,43.310001,43.389999,42.91,43.34,47072900,36.742802
2010-04-14,43.790001,44.02,43.59,43.98,42957800,37.285381
2010-04-15,43.700001,43.98,43.650002,43.740002,43463300,37.081909
2010-04-16,43.25,43.32,42.27,42.459999,142486200,35.99675
2010-04-19,41.959999,42.380001,41.650002,42.290001,89434600,35.852631
2010-04-20,42.669998,42.860001,42.450001,42.790001,63883700,36.276512
2010-04-21,42.709999,42.77,42.259998,42.650002,64141600,36.157833
2010-04-22,42.27,42.869999,41.990002,42.830002,72788900,36.31044
2010-04-23,42.689999,43.110001,42.490002,43.060001,64724100,36.505424
2010-04-26,43.330002,43.400002,42.990002,43.060001,46317300,36.505424
2010-04-27,42.580002,42.68,41.43,41.52,132888400,35.199829
2010-04-28,42.009998,42.060001,41.290001,41.869999,68981700,35.496563
2010-04-29,42.259998,42.610001,42.16,42.560001,69912900,36.081528
2010-04-30,42.540001,42.689999,42.009998,42.049999,77528000,35.649162
2010-05-03,42.189999,42.419998,41.900002,42.279999,47649800,35.844154
2010-05-04,41.380001,41.41,40.23,40.34,159998800,34.199459
2010-05-05,39.580002,40.259998,39.23,39.610001,131994700,33.580574
2010-05-06,39.310001,39.759998,36.580002,37.990002,225063100,32.207176
2010-05-07,38.360001,38.84,37.25,38.189999,191265100,32.376736
2010-05-10,40.630001,41.029999,40.389999,40.939999,187916400,34.708126
2010-05-11,40,40.799999,39.900002,40.200001,119869600,34.080769
2010-05-12,40.540001,40.77,40.400002,40.700001,73936600,34.504669
2010-05-13,40.700001,40.93,40.290001,40.32,71622500,34.182507
2010-05-14,40.029999,40.060001,39.099998,39.490002,113085000,33.478848
2010-05-17,39.400002,39.669998,38.400002,39.25,101708500,33.275379
2010-05-18,39.639999,39.790001,38.299999,38.43,113529000,32.580193
2010-05-19,37.900002,38.299999,37.360001,38.060001,129633400,32.266514
2010-05-20,36.610001,37.060001,36,36.169998,174383500,30.664213
2010-05-21,35.709999,37.380001,35.669998,37.34,169452900,31.656113
2010-05-24,37.369999,37.630001,36.900002,36.950001,90936400,31.325483
2010-05-25,35.470001,36.610001,35.209999,36.549999,144257100,30.986372
2010-05-26,36.93,37.52,36.439999,36.529999,128281900,30.969412
2010-05-27,37.959999,38.810001,37.68,38.740002,147181800,32.84301
2010-05-28,38.52,38.59,37.919998,38.099998,113223700,32.300419
2010-06-01,37.709999,38.43,37.380001,37.400002,91068700,31.706982
2010-06-02,37.830002,38.740002,37.630001,38.709999,103740800,32.817574
2010-06-03,38.959999,39.009998,38.080002,38.57,70470800,32.698883
2010-06-04,37.740002,38.119999,37.09,37.200001,108937200,31.53743
2010-06-07,37.34,37.5,36.59,36.619999,82131900,31.045721
2010-06-08,37.029999,37.509998,36.580002,37.459999,108438000,31.757843
2010-06-09,37.619999,38.119999,37.060001,37.259998,87947600,31.588285
