"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,70.599998,71.400002,70.489998,71.050003,24254800,59.184582
2012-01-04,70.779999,71.32,70.360001,71.199997,14018500,59.309513
2012-01-05,70.739998,70.910004,70,70.860001,12674700,59.02631
2012-01-06,70.989998,71.019997,70.290001,70.440002,8893100,58.676456
2012-01-09,70.589996,70.940002,70.379997,70.779999,12043200,58.959667
2012-01-10,71.889999,71.980003,71.209999,71.410004,13633400,59.484467
2012-01-11,71.080002,71.089996,70.169998,70.449997,13472000,58.684776
2012-01-12,70.07,70.379997,69.480003,69.790001,19704800,58.134995
2012-01-13,69.349998,69.540001,68.739998,69.440002,16217400,57.843441
2012-01-17,70.220001,70.550003,69.709999,69.93,12527000,58.251617
2012-01-18,69.889999,71.110001,69.550003,71.080002,15361800,59.209576
2012-01-19,71.449997,71.629997,71.040001,71.370003,13304400,59.451126
2012-01-20,71.360001,71.639999,70.82,71.379997,15393300,59.459465
2012-01-23,71.629997,72.150002,71.43,71.949997,12987000,59.934258
2012-01-24,71.32,71.790001,71.029999,71.739998,10617200,59.75935
2012-01-25,71.629997,72.860001,70.709999,72.620003,19638100,60.492374
2012-01-26,73.07,73.160004,71.349998,71.629997,16979200,59.667728
2012-01-27,71.309998,71.790001,71.199997,71.480003,9224100,59.542763
2012-01-30,70.660004,71.190002,70.129997,71.139999,13625800,59.25956
2012-01-31,71.650002,71.720001,70.339996,70.690002,14680900,58.884693
2012-02-01,71.330002,71.580002,70.82,70.970001,12776500,59.117939
2012-02-02,71.080002,71.779999,70.860001,71.510002,15471100,59.567757
2012-02-03,72.440002,72.839996,72.029999,72.769997,14996500,60.617317
2012-02-06,72.360001,73.650002,72.25,73.639999,13384600,61.342033
2012-02-07,73.459999,74.139999,72.699997,74.019997,17548700,61.658566
2012-02-08,74.199997,74.300003,73.290001,73.769997,11027800,61.450325
2012-02-09,73.879997,74.059998,73.190002,73.779999,9605400,61.458649
