"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,39.48,39.959999,39.48,39.959999,5928100,35.551373
2010-01-05,40.119999,40.360001,39.959999,40.200001,7801400,35.764896
2010-01-06,40.080002,40.48,40.080002,40.360001,9715500,35.907238
2010-01-07,39.959999,40.119999,39.880001,40,8008500,35.586956
2010-01-08,40.439999,40.560001,40.240002,40.48,4221000,36.014
2010-01-11,40.720001,40.84,40.599998,40.84,5207800,36.334286
2010-01-12,41.119999,41.279999,41,41.119999,7622100,36.583405
2010-01-13,41,41.400002,40.959999,41.360001,8881400,36.796921
2010-01-14,41.639999,42.040001,41.639999,41.959999,6478200,37.330723
2010-01-15,42,42.080002,41.439999,41.880001,9396400,37.259544
2010-01-19,41.560001,41.959999,41.52,41.84,4339900,37.223961
2010-01-20,40.959999,41,40.560001,40.919998,8363100,36.40546
2010-01-21,41.360001,41.439999,40.880001,41.119999,14103800,36.583405
2010-01-22,41.080002,41.279999,40.639999,40.68,7058500,36.191944
2010-01-25,41.119999,41.16,40.84,41,4211000,36.476631
2010-01-26,40.560001,40.919998,40.439999,40.560001,6857000,36.085178
2010-01-27,40.240002,40.439999,40,40.32,7203200,35.871651
2010-01-28,40.279999,40.32,39.720001,39.919998,10078700,35.515785
2010-01-29,39.68,39.919998,39.32,39.360001,9333800,35.017567
2010-02-01,39.759998,39.84,39.599998,39.759998,8146500,35.373432
2010-02-02,40.16,40.52,40.080002,40.52,10421500,36.049591
2010-02-03,40.16,40.279999,39.880001,40.119999,8389400,35.693726
2010-02-04,39.400002,39.48,39.080002,39.360001,11501600,35.017567
2010-02-05,39.200001,39.360001,38.68,39.279999,11118800,34.946392
2010-02-08,39.16,39.32,38.84,39,6925300,34.697292
2010-02-09,39.360001,39.52,39.040001,39.240002,9333800,34.910812
2010-02-10,39.32,39.48,38.919998,39.240002,8004400,34.910812
2010-02-11,39.16,39.52,39,39.439999,3969800,35.088745
2010-02-12,39.080002,39.279999,38.959999,39.200001,4158600,34.875225
2010-02-16,39.16,39.68,39,39.599998,5112300,35.231075
2010-02-17,39.68,39.84,39.560001,39.599998,3812400,35.231075
2010-02-18,39.560001,39.759998,39.439999,39.68,3613400,35.302265
2010-02-19,39.040001,39.240002,38.880001,39.040001,7393900,34.732868
2010-02-22,39.439999,39.560001,39.279999,39.52,5019000,35.159912
2010-02-23,39.400002,39.48,39.119999,39.360001,6689600,35.017567
2010-02-24,39.32,39.68,39.279999,39.439999,4033900,35.088745
2010-02-25,39.200001,39.52,39.040001,39.52,4555800,35.159912
2010-02-26,39.639999,39.880001,39.48,39.759998,4803600,35.373432
2010-03-01,40.119999,40.32,40,40.16,6200700,35.729305
2010-03-02,40.400002,40.599998,40.279999,40.279999,3943200,35.836071
2010-03-03,40.560001,40.799999,40.439999,40.560001,3626000,36.085178
2010-03-04,40.279999,40.279999,39.959999,40.16,3949600,35.729305
2010-03-05,40.279999,40.639999,40.240002,40.560001,4334300,36.085178
2010-03-08,40.84,40.919998,40.68,40.84,4004100,36.334286
2010-03-09,40.599998,40.959999,40.560001,40.68,4604900,36.191944
2010-03-10,40.439999,40.639999,40.360001,40.400002,10151700,35.942829
2010-03-11,40.639999,40.84,40.560001,40.799999,4562400,36.298695
2010-03-12,41.080002,41.200001,40.880001,41.200001,3717700,36.654568
2010-03-15,40.919998,41.080002,40.759998,41,3690700,36.476631
2010-03-16,41.16,41.439999,41.080002,41.400002,5366700,36.832497
2010-03-17,41.279999,41.720001,41.279999,41.560001,6546400,36.974854
2010-03-18,41.360001,41.439999,41.16,41.279999,5722900,36.725746
2010-03-19,41.200001,41.48,41.040001,41.200001,4443000,36.654568
2010-03-22,41,41.48,40.959999,41.400002,4174500,36.832497
2010-03-23,41.439999,41.84,41.400002,41.799999,6586900,37.18837
2010-03-24,41.080002,41.32,41,41.119999,6643200,36.583405
2010-03-25,41.240002,41.439999,40.84,40.880001,6396700,36.369877
2010-03-26,41.32,41.639999,41.240002,41.52,11045700,36.939266
2010-03-29,41.880001,42.040001,41.759998,42.040001,3641500,37.401894
2010-03-30,42.240002,42.400002,42.080002,42.279999,5168400,37.615421
2010-03-31,42,42.040001,41.599998,41.759998,9415200,37.152782
2010-04-01,42.080002,42.400002,41.959999,42.400002,14896000,37.722179
2010-04-05,42.16,42.52,42.040001,42.279999,5060800,37.615421
2010-04-06,42.16,42.48,42.119999,42.400002,4264800,37.722179
2010-04-07,42.32,42.52,42.200001,42.400002,6652100,37.722179
2010-04-08,42.119999,42.439999,42.040001,42.439999,5457100,37.757763
2010-04-09,42.279999,42.599998,42.240002,42.560001,5385800,37.864532
2010-04-12,42.400002,42.599998,42.360001,42.48,4656800,37.79335
2010-04-13,42.439999,42.52,42.080002,42.400002,3608800,37.722179
2010-04-14,42.439999,42.68,42.32,42.599998,6355000,37.900105
2010-04-15,42.560001,42.84,42.48,42.799999,5817100,38.078053
2010-04-16,42.48,42.639999,41.720001,42,9578900,37.366306
2010-04-19,41.720001,41.959999,41.48,41.919998,8431700,37.295135
2010-04-20,41.959999,42,41.720001,41.759998,5620800,37.152782
2010-04-21,41.959999,41.959999,41.720001,41.919998,4637300,37.295135
2010-04-22,41.400002,41.639999,41.16,41.560001,5489700,36.974854
2010-04-23,41.439999,41.880001,41.360001,41.84,4411100,37.223961
2010-04-26,42.080002,42.279999,42.040001,42.119999,3413100,37.473068
2010-04-27,42,42.16,41.279999,41.360001,8823100,36.796921
2010-04-28,41.48,41.599998,41.080002,41.200001,6456600,36.654568
2010-04-29,41.52,41.799999,41.48,41.68,4546100,37.081612
2010-04-30,41.759998,41.799999,41.360001,41.560001,9148900,36.974854
2010-05-03,41.400002,41.84,41.400002,41.68,3701300,37.081612
2010-05-04,41,41.040001,40.200001,40.400002,6504000,35.942829
2010-05-05,39.799999,40.400002,39.759998,40.360001,6317100,35.907238
2010-05-06,40.240002,40.68,38,40.119999,12637600,35.693726
2010-05-07,40.080002,40.400002,39.48,39.759998,10233500,35.373432
2010-05-10,40.919998,41.16,40.720001,40.880001,7357500,36.369877
2010-05-11,40,40.560001,39.880001,39.959999,7023400,35.551373
2010-05-12,40.200001,40.48,40.119999,40.32,5202600,35.871651
