"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,42.48,42.93,42.48,42.900002,34500,31.719713
2010-01-05,42.939999,42.939999,42.419998,42.700001,25900,31.571838
2010-01-06,42.349998,42.779999,42.349998,42.639999,51500,31.527466
2010-01-07,42.259998,42.509998,42.139999,42.509998,131300,31.431356
2010-01-08,42.549999,42.849998,42.380001,42.84,52100,31.675352
2010-01-11,43.299999,43.299999,42.860001,43.099998,55000,31.867592
2010-01-12,42.48,42.650002,42.130001,42.349998,43200,31.313049
2010-01-13,42.709999,42.810001,42.27,42.75,105400,31.60881
2010-01-14,42.529999,42.939999,42.349998,42.939999,46800,31.749285
2010-01-15,42.279999,42.279999,41.389999,41.630001,43000,30.780689
2010-01-19,41.470001,42.240002,41.470001,42.130001,21800,31.150394
2010-01-20,41.029999,41.029999,40.299999,40.720001,41700,30.107853
2010-01-21,40.689999,40.689999,39.220001,39.32,65300,29.072706
2010-01-22,39.169998,39.490002,38.490002,38.700001,51900,28.614281
2010-01-25,39.27,39.419998,38.91,38.970001,17900,28.813927
2010-01-26,38.84,39.310001,38.639999,38.869999,15600,28.739977
2010-01-27,38.5,38.830002,38.310001,38.790001,24200,28.680838
2010-01-28,38.799999,38.799999,37.470001,37.880001,132200,28.00799
2010-01-29,37.950001,38.389999,37.369999,37.439999,25600,27.682659
2010-02-01,38.209999,38.41,38.009998,38.41,37700,28.399864
2010-02-02,38.549999,39.169998,38.549999,39.130001,17200,28.932224
2010-02-03,38.830002,38.91,38.34,38.610001,33800,28.547741
2010-02-04,37.610001,37.759998,36.32,36.32,64300,26.854549
2010-02-05,35.990002,36.18,34.77,35.689999,162400,26.388729
2010-02-08,35.799999,36,35.330002,35.369999,114800,26.152119
2010-02-09,36.299999,37.119999,35.830002,36.830002,142700,27.23163
2010-02-10,36.66,36.66,36.200001,36.529999,51600,27.009815
2010-02-11,36.080002,36.560001,35.700001,36.380001,76500,26.898914
2010-02-12,35.790001,36.150002,35.580002,36.040001,15200,26.647522
