"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,12.53,12.73,12.43,12.72,108500,11.342664
2010-01-05,12.74,12.74,12.43,12.58,162300,11.217821
2010-01-06,12.6,12.88,12.52,12.77,346300,11.387249
2010-01-07,12.78,13.25,12.73,13.24,187100,11.806354
2010-01-08,13.16,13.34,13.11,13.16,178500,11.73502
2010-01-11,13.22,13.22,12.93,12.98,141100,11.574509
2010-01-12,12.93,13.02,12.7,12.96,83300,11.556675
2010-01-13,12.97,13.1,12.91,12.99,223000,11.583427
2010-01-14,13.01,13.29,12.81,13.26,138300,11.824189
2010-01-15,13.29,13.3,12.71,13.09,256200,11.672602
2010-01-19,13.14,13.15,12.9,13,179300,11.592346
2010-01-20,12.87,12.92,12.45,12.49,243600,11.137569
2010-01-21,12.54,12.72,12.2,12.28,181300,10.950306
2010-01-22,12.25,12.39,11.96,12.08,133200,10.771961
2010-01-25,12.19,12.2,12,12.12,59200,10.807631
2010-01-26,12.1,12.13,11.98,12.02,109500,10.718461
2010-01-27,11.94,12.06,11.89,12.01,143100,10.70954
2010-01-28,12.02,12.02,11.72,11.82,124500,10.540112
2010-01-29,11.88,12.07,11.73,11.73,159500,10.459859
2010-02-01,11.76,11.89,11.47,11.86,136300,10.575783
2010-02-02,11.83,12.01,11.73,11.84,114300,10.557947
2010-02-03,11.81,12.01,11.7,11.88,92800,10.59362
2010-02-04,11.81,11.86,11.41,11.46,126700,10.219097
2010-02-05,11.47,11.59,11.23,11.59,125500,10.335021
2010-02-08,11.55,11.65,11.21,11.23,235000,10.014004
2010-02-09,11.38,11.49,11.22,11.41,140200,10.174511
2010-02-10,11.43,11.43,11.19,11.25,132600,10.031837
2010-02-11,11.21,11.39,11.17,11.38,328700,10.147761
2010-02-12,11.26,11.48,11.26,11.44,289700,10.201262
2010-02-16,11.49,11.57,11.32,11.45,243500,10.210181
2010-02-17,11.52,11.59,11.41,11.54,315800,10.290436
2010-02-18,11.57,11.8,11.54,11.77,134600,10.495528
2010-02-19,11.78,11.91,11.72,11.83,206300,10.549028
2010-02-22,11.83,12,11.81,11.96,274900,10.664955
2010-02-23,11.91,11.99,11.66,11.86,178300,10.575783
2010-02-24,11.86,11.95,11.74,11.8,132100,10.522281
2010-02-25,11.65,11.8,11.43,11.79,179200,10.513365
2010-02-26,11.8,11.87,11.65,11.72,179400,10.450942
2010-03-01,11.81,12.17,11.81,12.13,402500,10.816547
2010-03-02,12.18,12.4,11.73,11.94,648800,10.64712
2010-03-03,11.93,12.05,11.74,11.78,432300,10.504447
2010-03-04,11.88,11.92,11.75,11.82,194200,10.540112
2010-03-05,11.84,12.02,11.84,11.95,205100,10.656038
2010-03-08,11.94,12.09,11.75,11.77,293000,10.539629
2010-03-09,11.75,11.86,11.65,11.7,332900,10.476945
2010-03-10,11.67,11.89,11.65,11.77,179500,10.539629
2010-03-11,11.71,12.31,11.66,12.31,260400,11.023181
2010-03-12,12.33,12.44,12.2,12.41,241300,11.112727
2010-03-15,12.43,12.44,12.26,12.36,185000,11.067955
2010-03-16,12.37,12.44,12.29,12.37,143300,11.076909
2010-03-17,12.36,12.44,12.25,12.3,264200,11.014225
2010-03-18,12.33,12.5,12.33,12.46,125300,11.157501
2010-03-19,12.68,12.69,12.5,12.68,307600,11.354504
2010-03-22,12.57,12.96,12.55,12.94,153000,11.587322
