"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,42.75,43.169998,42.740002,43.139999,16220300,36.1194
2010-01-05,43.82,44.049999,43.66,44.029999,16484500,36.864559
2010-01-06,44.439999,44.580002,44.330002,44.560001,11460900,37.308311
2010-01-07,43.939999,44.040001,43.630001,43.869999,23195800,36.730595
2010-01-08,43.77,44.009998,43.509998,44,12764700,36.839443
2010-01-11,44.299999,44.330002,43.75,44.07,17206100,36.898048
2010-01-12,43.389999,43.389999,42.720001,43,32969400,36.002178
2010-01-13,42.57,42.599998,42.16,42.48,33873600,35.566807
2010-01-14,42.07,42.16,41.860001,42.130001,25716800,35.273766
2010-01-15,41.849998,41.900002,41.349998,41.450001,23505900,34.70443
2010-01-19,42.130001,42.799999,42.07,42.77,22103900,35.80962
2010-01-20,41.349998,41.360001,40.75,41.139999,35039700,34.444874
2010-01-21,40.5,40.68,39.52,39.610001,44647400,33.163876
2010-01-22,39.91,40.009998,39.02,39.07,46879900,32.711754
2010-01-25,39.799999,39.91,39.389999,39.689999,31769700,33.230846
2010-01-26,38.59,39.009998,38.259998,38.549999,41631500,32.276379
2010-01-27,38.09,38.48,37.709999,38.330002,40082200,32.092182
2010-01-28,38.889999,39.060001,38.119999,38.509998,44465100,32.242882
2010-01-29,39.009998,39.110001,38.189999,38.360001,31291600,32.117302
2010-02-01,38.939999,39.630001,38.900002,39.560001,36448300,33.122009
2010-02-02,39.32,39.900002,39.18,39.84,25331900,33.356441
2010-02-03,39.939999,40.16,39.639999,39.84,22594100,33.356441
2010-02-04,39.049999,39.060001,37.889999,38.02,47873300,31.83263
2010-02-05,37.439999,37.709999,36.650002,37.57,50052600,31.455862
2010-02-08,37.5,37.810001,37.169998,37.169998,30623700,31.120955
2010-02-09,38.099998,38.880001,37.860001,38.459999,50062000,32.201012
2010-02-10,38.669998,39.029999,38.16,38.630001,27446700,32.343365
2010-02-11,39.07,39.68,38.77,39.68,33671200,33.222481
2010-02-12,38.860001,39.049999,38.43,38.91,30534000,32.577789
2010-02-16,39.389999,39.68,38.990002,39.560001,20269000,33.122009
