"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,52.790001,54.02,52.759998,53.799999,13011400,51.129227
2012-01-04,53.610001,54.540001,53.34,53.740002,8184000,51.072212
2012-01-05,53.259998,54.27,52.759998,53.900002,7415800,51.224262
2012-01-06,54.130001,54.290001,53.220001,53.349998,7757700,50.701565
2012-01-09,53.549999,53.950001,53.18,53.650002,5513900,50.986671
2012-01-10,54.799999,55.07,54.389999,54.470001,6615000,51.765972
2012-01-11,54.459999,54.509998,53.669998,54.310001,6838500,51.613911
2012-01-12,54.84,55.450001,54.310001,54.720001,8358700,52.003555
2012-01-13,54.040001,54.169998,53.23,54.049999,7322500,51.366817
2012-01-17,54.540001,54.540001,52.860001,53.18,8412800,50.540005
2012-01-18,53.07,53.580002,52.950001,53.240002,7007800,50.597027
2012-01-19,53.169998,53.419998,51.580002,52.150002,12918900,49.561138
2012-01-20,52.07,52.779999,51.75,52.18,8845400,49.589649
2012-01-23,52.419998,53.27,52.419998,53.009998,12818900,50.378445
2012-01-24,52.509998,52.580002,51.709999,51.82,12761700,49.24752
2012-01-25,51.580002,55.41,51.27,55.23,26995600,52.488239
2012-01-26,56.060001,56.779999,55.509998,55.759998,20174200,52.991924
2012-01-27,55.799999,57.369999,55.720001,57.139999,14823200,54.303421
2012-01-30,56.400002,56.91,55.799999,56.459999,8660600,53.657177
2012-01-31,57.52,57.709999,55.75,56.459999,14442300,53.657177
2012-02-01,57.040001,57.150002,56.369999,56.560001,8178400,53.752213
2012-02-02,57.09,57.939999,56.689999,57.470001,10696000,54.617039
2012-02-03,56.77,56.939999,55.950001,56.439999,16557400,53.638172
2012-02-06,56.02,56.799999,55.860001,56.18,9668400,53.391079
2012-02-07,56.09,56.650002,55.290001,55.880001,13118400,53.105972
2012-02-08,56.139999,56.529999,55.369999,55.540001,8798100,52.782852
2012-02-09,56.200001,56.43,55.25,55.25,8596700,52.507244
2012-02-10,54.540001,54.84,54.080002,54.490002,9900900,51.784977
2012-02-13,54.759998,54.919998,54.130001,54.299999,6050800,51.604408
2012-02-14,54.299999,54.549999,53.189999,53.77,10699100,51.100712
2012-02-15,54.43,54.459999,53.52,53.560001,10014200,50.901142
2012-02-16,52.939999,55.150002,52.689999,54.950001,15885900,52.222141
2012-02-17,55.299999,55.349998,54.040001,54.150002,9653200,51.461853
2012-02-21,55.009998,55.849998,54.700001,55.82,11722700,53.048946
2012-02-22,55.580002,57,55.310001,56.830002,13146400,54.008816
2012-02-23,57.040001,57.709999,56.77,57.259998,14465100,54.417465
2012-02-24,57.150002,57.290001,56.18,56.459999,9122200,53.657177
2012-02-27,56.27,56.639999,55.73,56.060001,8395400,53.277035
2012-02-28,56.549999,57.439999,56.200001,57.330002,15019900,54.483997
2012-02-29,57.509998,57.91,54.869999,55.400002,34053800,52.649803
2012-03-01,55.540001,56.380001,55.209999,55.889999,15032900,53.115479
2012-03-02,55.389999,55.529999,54.509998,54.790001,12757700,52.070087
2012-03-05,54.34,54.439999,53.220001,53.619999,13539600,50.95816
2012-03-06,52.549999,52.580002,51.639999,52.470001,20943600,49.865253
2012-03-07,52.580002,52.919998,51.93,52.669998,11751800,50.055317
2012-03-08,53.23,53.709999,52.470001,53.32,9950500,50.673054
2012-03-09,52.950001,53.939999,52.639999,53.240002,8384800,50.597027
2012-03-12,52.950001,53.240002,52.220001,52.369999,8761400,49.770214
2012-03-13,52.209999,52.860001,51.790001,52.110001,13602500,49.523121
2012-03-14,51.349998,51.349998,49.68,50.119999,24309200,47.631908
2012-03-15,50.23,50.939999,49.919998,50.139999,11196700,47.650917
2012-03-16,49.950001,50.310001,49.799999,49.93,11395500,47.451344
2012-03-19,50.07,50.52,49.59,49.599998,11432600,47.137726
2012-03-20,48.990002,49.990002,48.419998,49.860001,15287200,47.384819
2012-03-21,50.27,50.5,49.720001,49.759998,14024800,47.28978
2012-03-22,48.759998,49.130001,48.450001,48.75,11460500,46.329918
2012-03-23,49.080002,50.060001,48.830002,49.759998,14594200,47.28978
2012-03-26,50.810001,50.950001,50.200001,50.630001,12638700,48.1166
2012-03-27,50.84,50.860001,49.799999,49.91,10166200,47.432335
2012-03-28,49.650002,49.75,48.630001,48.93,14557900,46.500984
2012-03-29,48.759998,49.09,48.049999,49.060001,12259600,46.624531
2012-03-30,49.619999,49.630001,48.810001,49.540001,9890400,47.080704
2012-04-02,49.540001,50.759998,49.419998,50.389999,13114500,47.888508
2012-04-03,50.470001,50.470001,48.349998,48.75,17390400,46.329918
2012-04-04,47.73,47.77,46.009998,46.709999,27237700,44.391193
2012-04-05,46.950001,47.080002,46,46.200001,11559200,43.906509
2012-04-09,46.59,47.130001,46.389999,46.48,9302200,44.172607
2012-04-10,46.439999,47.189999,45.98,47.040001,18461300,44.704815
2012-04-11,47.16,47.23,46.360001,46.490002,10167900,44.182117
2012-04-12,46.459999,48.330002,46.450001,48.150002,14841700,45.759712
2012-04-13,47.919998,48.060001,47.25,47.5,12925100,45.141975
2012-04-16,47.34,47.740002,46.389999,46.639999,12576000,44.324665
2012-04-17,46.82,47.709999,46.48,47.110001,10549000,44.771336
2012-04-18,46.650002,47.259998,46.400002,46.630001,10432800,44.31517
2012-04-19,46.950001,47.27,46.439999,46.610001,10358700,44.29615
2012-04-20,46.73,47.060001,46.099998,46.119999,10535400,43.830482
2012-04-23,45.41,45.450001,44.18,45.040001,19325900,42.8041
2012-04-24,45.349998,45.470001,44.790001,45.139999,10375100,42.899132
2012-04-25,45.470001,46.389999,45.099998,46.290001,21177600,43.992046
2012-04-26,46.32,46.450001,45.869999,46.25,12882600,43.954029
2012-04-27,46.860001,47.110001,46.509998,46.799999,9498400,44.476723
2012-04-30,46.369999,46.57,45.709999,46.389999,9197900,44.087078
2012-05-01,46.41,46.900002,46.119999,46.439999,8883700,44.13459
2012-05-02,46.07,46.099998,45.299999,45.66,10172800,43.393314
2012-05-03,45.040001,45.150002,43.400002,43.880001,19120600,41.701687
2012-05-04,43.82,44.740002,43.790001,44.049999,14631400,41.863247
2012-05-07,44.09,44.389999,43.09,43.669998,13775000,41.502106
2012-05-08,42.740002,42.849998,41.73,42.169998,23654800,40.076572
2012-05-09,41.389999,43.630001,41.099998,43.02,28890800,40.884373
2012-05-10,43.549999,43.889999,42.68,43.09,18881400,40.950897
2012-05-11,42.580002,43.299999,42.330002,42.419998,12632900,40.314159
2012-05-14,41.57,42.259998,40.950001,40.970001,21789800,38.936146
2012-05-15,40.970001,41.34,39.25,39.34,24527000,37.387062
2012-05-16,39.450001,40.66,39.080002,39.560001,28720000,37.596138
2012-05-17,40.18,41.970001,40.119999,41.34,30740700,39.287773
2012-05-18,42.189999,42.810001,41.439999,41.619999,21909600,39.553875
2012-05-21,41.639999,43.119999,41.630001,43.009998,13536300,40.874866
2012-05-22,42.959999,43.759998,42.200001,42.540001,20767800,40.4282
2012-05-23,42.119999,44.439999,41.299999,44.439999,31400000,42.233879
