"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,154.759995,156.300003,154.550003,155.919998,13385800,155.919998
2012-01-04,155.429993,157.380005,155.339996,156.710007,11549700,156.710007
2012-01-05,155.369995,158.029999,155.25,157.779999,11621600,157.779999
2012-01-06,158.589996,158.630005,156.380005,157.199997,9790500,157.199997
2012-01-09,157.360001,157.589996,156.190002,156.5,8771900,156.5
2012-01-10,158.970001,159.470001,158.470001,158.639999,8371400,158.639999
2012-01-11,159.339996,160.050003,158.910004,159.669998,7968500,159.669998
2012-01-12,161.020004,161.619995,159.830002,160.380005,8602500,160.380005
2012-01-13,159.320007,159.589996,158.009995,159.259995,8910300,159.259995
2012-01-17,161.169998,161.649994,160.419998,160.5,8313300,160.5
2012-01-18,159.940002,161.639999,159.679993,161.600006,9341200,161.600006
2012-01-19,160.960007,161.449997,160.330002,161.220001,8114200,161.220001
2012-01-20,160.5,162.089996,160,162.070007,11616700,162.070007
2012-01-23,162.320007,163.470001,162.320007,163.160004,8832100,163.160004
2012-01-24,161.809998,162.369995,161.529999,162.009995,7502100,162.009995
2012-01-25,161.070007,166.550003,160.289993,166.419998,28957700,166.419998
2012-01-26,168.050003,168.309998,167.050003,167.270004,19143800,167.270004
2012-01-27,167.440002,169,167.410004,168.970001,13030100,168.970001
2012-01-30,168.190002,168.539993,167.740005,168.029999,8438000,168.029999
2012-01-31,169.770004,169.860001,167.720001,169.309998,11192500,169.309998
2012-02-01,169.75,170.179993,169.080002,169.559998,7734200,169.559998
2012-02-02,169.960007,171.229996,169.679993,171.050003,11509600,171.050003
2012-02-03,169.880005,170.139999,167.509995,167.639999,23355300,167.639999
2012-02-06,166.960007,167.679993,166.610001,167.179993,8807400,167.179993
2012-02-07,167.380005,170.089996,167.149994,169.699997,11614300,169.699997
2012-02-08,169.259995,169.960007,167.5,168.5,10655500,168.5
2012-02-09,170.009995,170.369995,167.669998,168.020004,16085200,168.020004
2012-02-10,166.490005,167.639999,166.330002,167.139999,10326800,167.139999
2012-02-13,167.330002,167.940002,166.740005,167.509995,7088900,167.509995
2012-02-14,167.649994,167.929993,166.419998,167.119995,7862500,167.119995
2012-02-15,168.630005,168.75,167.190002,168.110001,11638500,168.110001
2012-02-16,166.330002,168.139999,166.169998,168,10734000,168
2012-02-17,168.289993,168.330002,166.869995,167.350006,7286900,167.350006
2012-02-21,169.649994,171.070007,169.589996,171.020004,13611200,171.020004
2012-02-22,170.399994,173.169998,170.190002,172.940002,16676500,172.940002
2012-02-23,172.690002,173.770004,172.279999,173.020004,11654200,173.020004
2012-02-24,172.630005,173.039993,172,172.229996,9293700,172.229996
2012-02-27,172.139999,172.919998,171.580002,171.699997,7340900,171.699997
2012-02-28,172.839996,174,172.600006,173.490005,12413000,173.490005
2012-02-29,173.190002,173.589996,164,164.289993,44149000,164.289993
