"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,30.719999,31.34,30.66,31.25,11571600,27.784161
2010-01-05,31.280001,31.83,30.99,31.65,18989700,28.139795
2010-01-06,31.74,32.59,31.639999,32.400002,15720800,28.80661
2010-01-07,32.310001,32.52,31.92,32.48,8993100,28.877743
2010-01-08,32.950001,34.139999,32.490002,34.119999,23014600,30.335859
2010-01-11,34.709999,34.869999,33.380001,33.779999,15943400,30.033566
2010-01-12,33.169998,33.73,32.860001,33.290001,15739600,29.597919
2010-01-13,33.349998,34.209999,33.169998,34.049999,13885400,30.273624
2010-01-14,34.080002,34.639999,33.700001,34.310001,12008000,30.504784
2010-01-15,34.189999,34.290001,33.470001,34.029999,11967100,30.255838
2010-01-19,33.849998,34.720001,33.849998,34.599998,12018100,30.762627
2010-01-20,34.099998,34.240002,33.009998,33.27,17463600,29.58012
2010-01-21,33.25,33.52,32.5,32.529999,20825600,28.922194
2010-01-22,32.27,32.470001,31.049999,31.15,21577600,27.695248
2010-01-25,29.690001,31.5,29.52,31.07,29815000,27.624125
2010-01-26,30.83,31.5,30.309999,30.879999,18930800,27.455189
2010-01-27,30.73,30.870001,29.4,30.41,19410700,27.037325
2010-01-28,30.83,30.83,29.360001,29.65,16881400,26.361612
2010-01-29,29.98,30.66,29.01,29.209999,18196500,25.970409
2010-02-01,29.57,30.700001,29.530001,30.65,13821700,27.250702
2010-02-02,30.799999,31.5,30.43,30.76,16414100,27.348505
2010-02-03,30.709999,31.209999,30.16,30.360001,11090200,26.992872
2010-02-04,29.969999,29.969999,28.709999,28.860001,17959900,25.659233
2010-02-05,28.809999,29.26,27.709999,28.290001,22097000,25.152443
2010-02-08,28.33,29.02,28.049999,28.1,16336400,24.983513
2010-02-09,28.559999,29.68,28.559999,29.08,20175400,25.854824
2010-02-10,29.01,29.51,28.5,29.23,12150700,25.98819
2010-02-11,29.25,30.23,28.870001,30.16,14493200,26.815041
2010-02-12,29.59,30.08,29.42,30.02,14981300,26.690573
2010-02-16,30.68,31.139999,30.43,31.049999,15028400,27.606344
2010-02-17,31.15,31.24,30.73,31.08,11394000,27.633013
2010-02-18,30.93,31.66,30.93,31.540001,11485800,28.042
2010-02-19,31.42,32.080002,31.190001,31.790001,12130100,28.264267
2010-02-22,31.91,32.150002,30.870001,31.02,14988500,27.579672
2010-02-23,30.82,30.99,30.059999,30.200001,14472400,26.850616
2010-02-24,30.299999,30.540001,29.690001,30.01,18173300,26.681686
2010-02-25,29.379999,30.09,29,30,13093300,26.672792
2010-02-26,30.02,30.25,29.559999,30.15,12722900,26.88681
2010-03-01,30.459999,30.950001,30.360001,30.75,11698800,27.421881
2010-03-02,30.959999,31.67,30.84,31.209999,12519400,27.832092
2010-03-03,31.530001,32.220001,31.41,31.700001,10792800,28.26906
2010-03-04,31.780001,31.889999,31.17,31.450001,7605700,28.046116
2010-03-05,31.790001,32.110001,31.65,31.879999,8737400,28.429575
2010-03-08,31.9,32.389999,31.26,31.41,10685000,28.010443
2010-03-09,31.15,31.25,30.59,30.91,14949900,27.564562
2010-03-10,30.85,31.129999,30.15,30.639999,20693100,27.323788
2010-03-11,30.51,30.790001,30.17,30.74,13677900,27.412958
2010-03-12,31.16,31.549999,30.780001,31.5,15641400,28.090704
2010-03-15,31.27,31.52,30.66,31.030001,10154400,27.671572
2010-03-16,31.27,31.93,31.17,31.709999,11203600,28.277973
2010-03-17,31.91,32.830002,31.809999,32.52,16965200,29.000313
2010-03-18,32.470001,32.549999,31.389999,31.58,12179500,28.162046
2010-03-19,30.5,31.9,30.209999,30.5,18790400,27.198936
2010-03-22,30.15,30.9,29.889999,30.639999,11853300,27.323788
2010-03-23,30.719999,31.18,30.530001,30.709999,10179100,27.386204
2010-03-24,30.389999,30.82,30.15,30.209999,9982800,26.940327
2010-03-25,30.5,30.65,29.540001,29.57,14175800,26.369593
2010-03-26,29.799999,29.870001,29.25,29.360001,12483100,26.182323
2010-03-29,29.65,30.09,29.48,29.870001,12255000,26.637119
2010-03-30,29.959999,30.26,29.85,30,11792700,26.753054
2010-03-31,30.25,30.33,29.940001,30.129999,10508700,26.868988
2010-04-01,30.530001,31.07,30.459999,30.74,13189700,27.412958
2010-04-05,31.15,31.98,30.790001,31.85,16571600,28.402826
2010-04-06,31.959999,32.43,31.870001,32.200001,9753700,28.714947
2010-04-07,32.259998,32.310001,31.4,31.629999,12860100,28.206633
2010-04-08,31.34,31.690001,30.879999,31.66,11112500,28.233387
2010-04-09,31.83,32,31.190001,31.57,8299300,28.15313
2010-04-12,31.49,31.950001,31.42,31.5,6770700,28.090704
2010-04-13,31.48,31.58,31.07,31.42,9046100,28.019371
2010-04-14,31.719999,32.5,31.549999,32.43,11950200,28.920055
2010-04-15,32.360001,32.68,32.139999,32.52,10454400,29.000313
2010-04-16,32.290001,32.450001,31.040001,31.639999,16701400,28.215555
