"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,20.790001,21.030001,20.73,20.879999,47800900,15.710751
2010-01-05,20.940001,20.99,20.6,20.870001,52357700,15.703226
2010-01-06,20.809999,20.93,20.67,20.799999,40037400,15.650558
2010-01-07,20.73,20.76,20.34,20.6,54041500,15.500067
2010-01-08,20.540001,20.889999,20.4,20.83,48234700,15.67313
2010-01-11,21.110001,21.15,20.82,20.950001,51086400,15.763425
2010-01-12,20.870001,20.9,20.379999,20.610001,69958400,15.507595
2010-01-13,20.719999,21.08,20.440001,20.959999,71446700,15.770947
2010-01-14,21.110001,21.549999,21.049999,21.48,150821600,16.162209
2010-01-15,21.389999,21.4,20.77,20.799999,198078600,15.650558
2010-01-19,20.9,21.17,20.85,21.049999,82573500,15.838667
2010-01-20,20.99,21.139999,20.85,21.08,65670100,15.861239
2010-01-21,21.15,21.309999,20.68,20.84,73633300,15.680653
2010-01-22,20.77,20.790001,19.809999,19.91,116302400,14.980893
2010-01-25,20.24,20.58,20.139999,20.32,73785600,15.289389
2010-01-26,20.18,20.379999,19.950001,20,65298900,15.048615
2010-01-27,20,20.33,19.82,20.24,74926200,15.22919
2010-01-28,20.299999,20.389999,19.68,19.92,76974600,14.988421
2010-01-29,20.129999,20.23,19.299999,19.4,96053900,14.59715
2010-02-01,19.469999,19.75,19.440001,19.610001,50338300,14.755163
2010-02-02,19.68,20.040001,19.559999,19.91,63332500,14.980893
2010-02-03,19.780001,19.879999,19.469999,19.68,45582300,14.925909
2010-02-04,19.57,19.58,18.950001,19.02,90931100,14.425343
2010-02-05,19.1,19.58,19,19.469999,88711700,14.766634
2010-02-08,19.48,19.790001,19.299999,19.35,62563200,14.675627
2010-02-09,19.639999,19.889999,19.440001,19.65,69454100,14.903154
2010-02-10,19.59,19.870001,19.450001,19.690001,56250600,14.933491
2010-02-11,19.629999,20.200001,19.549999,20.059999,58837300,15.214108
2010-02-12,19.959999,20.68,19.790001,20.43,91108900,15.494727
2010-02-16,20.620001,20.85,20.549999,20.719999,69083400,15.71467
2010-02-17,20.860001,20.860001,20.530001,20.66,47296700,15.66917
2010-02-18,20.639999,20.85,20.549999,20.84,42613600,15.805687
2010-02-19,20.719999,20.969999,20.58,20.82,40760000,15.79052
2010-02-22,20.950001,20.959999,20.65,20.870001,38730600,15.828437
2010-02-23,20.84,20.950001,20.290001,20.389999,62245300,15.464395
2010-02-24,20.52,20.809999,20.5,20.700001,51070100,15.699502
2010-02-25,20.370001,20.66,20.219999,20.629999,48789400,15.646414
2010-02-26,20.6,20.68,20.43,20.530001,47795300,15.570573
2010-03-01,20.68,20.940001,20.620001,20.870001,51203300,15.828437
2010-03-02,20.99,21.09,20.58,20.700001,59399000,15.699502
2010-03-03,20.76,20.82,20.440001,20.52,49909900,15.562988
2010-03-04,20.6,20.610001,20.26,20.530001,62750100,15.570573
2010-03-05,20.66,20.84,20.450001,20.790001,45879700,15.767769
2010-03-08,20.809999,20.879999,20.700001,20.77,35742100,15.752597
2010-03-09,20.68,21.200001,20.66,20.940001,83168700,15.881528
2010-03-10,20.950001,21.290001,20.91,21.190001,58435600,16.071133
2010-03-11,21.139999,21.27,20.99,21.25,53778700,16.11664
2010-03-12,21.309999,21.370001,21.18,21.27,39584500,16.131813
2010-03-15,21.16,21.32,21.049999,21.17,34378000,16.055962
2010-03-16,21.23,22.040001,21.200001,22.01,123060900,16.693052
2010-03-17,22.059999,22.35,21.91,22.24,77805900,16.867489
2010-03-18,22.190001,22.35,22.01,22.200001,54458500,16.837149
2010-03-19,22.25,22.389999,21.809999,21.99,77998500,16.677879
2010-03-22,21.870001,22.299999,21.84,22.24,47405700,16.867489
2010-03-23,22.389999,22.75,22.360001,22.67,64740900,17.193617
2010-03-24,22.530001,22.67,22.32,22.43,54729000,17.011587
2010-03-25,22.690001,22.73,22.309999,22.35,52428700,16.950914
2010-03-26,22.43,22.59,22.07,22.24,45700500,16.867489
2010-03-29,22.42,22.49,22.26,22.33,34467900,16.935747
2010-03-30,22.4,22.540001,22.18,22.34,37886300,16.943327
2010-03-31,22.32,22.5,22.200001,22.290001,45983800,16.905409
2010-04-01,22.4,22.639999,22.200001,22.389999,45491000,16.981251
2010-04-05,22.48,22.65,22.34,22.59,34942900,17.132944
2010-04-06,22.43,22.48,22.26,22.4,47056500,16.988836
2010-04-07,22.43,22.68,22.25,22.450001,62539800,17.026758
2010-04-08,22.379999,22.41,22.16,22.309999,40824500,16.920574
2010-04-09,22.4,22.57,22.360001,22.549999,45528700,17.102604
