"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,75.68,75.870003,74.769997,74.970001,60504700,67.505913
2012-01-04,74.580002,74.860001,74.07,74.559998,34648500,67.136711
2012-01-05,74.029999,75.339996,73.370003,74.980003,57274600,67.51487
2012-01-06,75.019997,75.379997,74.269997,74.790001,45499800,67.343811
2012-01-09,75.139999,75.300003,74.410004,75.169998,52042400,67.685982
2012-01-10,76.160004,76.43,75.959999,76.269997,42977600,68.676453
2012-01-11,75.949997,76.669998,75.870003,76.57,33445800,68.946594
2012-01-12,76.790001,76.919998,75.940002,76.800003,36131400,69.153679
2012-01-13,76.18,76.480003,75.599998,76.389999,42600400,68.784508
2012-01-17,77.099998,77.269997,76.129997,76.360001,34518400,68.757484
2012-01-18,76.32,77.730003,76.150002,77.720001,49330800,69.982079
2012-01-19,78.129997,78.360001,77.660004,78.199997,35830500,70.414291
2012-01-20,78.099998,78.510002,77.900002,78.25,42221200,70.45932
2012-01-23,78.260002,78.839996,77.550003,78.150002,37481400,70.369286
2012-01-24,77.68,78.75,77.269997,78.599998,49856900,70.77449
2012-01-25,78.599998,79.57,78.190002,79.269997,68272900,71.377769
2012-01-26,79.860001,79.910004,78.75,79.18,52755700,71.296745
2012-01-27,78.800003,79.779999,78.769997,79.720001,52203500,71.782982
2012-01-30,79.080002,79.43,78.519997,79.099998,46332400,71.224709
2012-01-31,79.660004,79.82,78.580002,79.019997,52024000,71.152649
2012-02-01,79.760002,80.900002,79.470001,80.720001,67292200,72.683426
2012-02-02,81.040001,81.529999,80.739998,81.18,46400100,73.097603
2012-02-03,82.470001,83.220001,82.239998,82.949997,72738000,74.691383
2012-02-06,82.57,82.93,82.370003,82.68,34516000,74.448257
2012-02-07,82.610001,82.989998,82.080002,82.629997,41623400,74.403236
2012-02-08,82.800003,83.209999,81.93,82.809998,46697400,74.565323
2012-02-09,83.019997,83.029999,81.839996,82.400002,48712500,74.196136
2012-02-10,81.5,81.669998,81.080002,81.269997,42503000,73.178635
2012-02-13,82.110001,82.43,81.610001,82.32,38574100,74.124123
2012-02-14,81.910004,82.120003,81.360001,81.949997,49375200,73.790939
2012-02-15,82.419998,82.43,81,81.269997,59836600,73.178635
2012-02-16,81.32,82.900002,81.279999,82.800003,61456800,74.556343
2012-02-17,83.290001,83.309998,82.629997,82.790001,33292000,74.54731
2012-02-21,82.919998,83.040001,81.830002,82.230003,39889400,74.043068
2012-02-22,81.970001,82.360001,81.5,81.580002,42626900,73.457802
2012-02-23,81.709999,82.849998,81.260002,82.800003,53177500,74.556343
2012-02-24,82.830002,83.029999,82.470001,82.639999,37607700,74.412231
2012-02-27,81.839996,82.949997,81.25,82.5,51807700,74.286194
2012-02-28,82.550003,83.059998,81.839996,82.279999,47680600,74.088089
2012-02-29,82.550003,82.959999,80.970001,81.050003,64213200,72.98056
2012-03-01,81.379997,82.370003,81.360001,81.470001,69526300,73.358719
2012-03-02,81.419998,81.639999,79.839996,80.25,70789500,72.260208
2012-03-05,79.989998,80.400002,79.419998,80.339996,44334800,72.341225
2012-03-06,79.419998,79.620003,78.410004,78.739998,80769300,70.900551
2012-03-07,78.910004,79.559998,78.779999,79.480003,57456300,71.566864
2012-03-08,80,80.690002,79.349998,80.510002,43803100,72.494316
2012-03-09,80.519997,82.150002,80.459999,81.599998,61462900,73.475807
2012-03-12,81.739998,81.93,81.050003,81.440002,34084200,73.331711
2012-03-13,82.059998,83.089996,81.400002,83.059998,60998100,74.790428
2012-03-14,82.959999,83.230003,82.010002,82.379997,46707700,74.178139
2012-03-15,82.25,83.120003,82.029999,83.07,58740500,74.799438
2012-03-16,83.220001,83.269997,82.650002,83,42045800,74.736412
2012-03-19,82.889999,84.389999,82.75,83.699997,66822800,75.366722
2012-03-20,83.120003,83.300003,82.580002,82.949997,43829100,74.691383
2012-03-21,83.199997,83.43,82.639999,82.93,40504700,74.673386
2012-03-22,82.089996,82.459999,81.620003,82.129997,60102900,73.953018
2012-03-23,82,82.790001,81.25,82.68,46464800,74.676476
2012-03-26,83.739998,84.459999,83.620003,84.400002,56454000,76.22998
2012-03-27,84.419998,84.660004,83.75,83.809998,41730700,75.697083
2012-03-28,83.800003,84.019997,82.610001,83.32,48836000,75.254532
2012-03-29,82.730003,83.220001,82.019997,83.080002,45615600,75.037773
2012-03-30,83.589996,83.599998,82.529999,82.809998,45904700,74.7939
2012-04-02,82.540001,83.860001,82.379997,83.830002,52756800,75.715179
2012-04-03,83.660004,84,82.93,83.269997,52012300,75.209366
2012-04-04,82.370003,82.43,81.449997,81.940002,65172400,74.008118
2012-04-05,81.599998,82,81.419998,81.580002,31978700,73.682983
2012-04-09,80.089996,80.57,79.849998,80.239998,50062200,72.472672
2012-04-10,79.919998,80.160004,78.139999,78.349998,101228600,70.765656
2012-04-11,79.010002,79.57,78.849998,79.459999,54346800,71.768173
2012-04-12,79.540001,80.910004,79.440002,80.599998,60728700,72.797821
2012-04-13,80.379997,80.410004,79.43,79.540001,53965200,71.840431
2012-04-16,79.889999,80.199997,78.879997,79.669998,44725900,71.957848
2012-04-17,80.330002,81.550003,80.269997,80.82,46737700,72.996536
2012-04-18,80.410004,80.669998,79.830002,80.209999,49008100,72.445587
2012-04-19,80.32,80.989998,79.25,79.75,74260400,72.030106
2012-04-20,80.279999,80.970001,80.059998,80.209999,46632000,72.445587
2012-04-23,78.980003,79.160004,78.309998,79.099998,62477000,71.443047
2012-04-24,79.129997,79.93,78.860001,79.699997,44810200,71.984955
2012-04-25,80.75,81.370003,80.529999,80.940002,50263300,73.104927
2012-04-26,80.949997,81.870003,80.82,81.739998,43147600,73.827469
2012-04-27,81.980003,82.529999,81.029999,82.379997,46796400,74.405533
2012-04-30,82.349998,82.360001,81.43,81.470001,38093600,73.583595
2012-05-01,81.559998,82.970001,81.290001,81.550003,60493600,73.655876
2012-05-02,80.910004,81.82,80.57,81.769997,52095800,73.854561
2012-05-03,81.660004,81.760002,80.169998,80.620003,61487800,72.81588
2012-05-04,80.07,80.550003,78.940002,79.089996,75093300,71.43399
2012-05-07,78.760002,79.599998,78.620003,79.300003,47361400,71.62368
2012-05-08,78.690002,79.300003,77.970001,79.25,62939600,71.578537
2012-05-09,78.25,79.260002,77.970001,78.800003,64431000,71.172073
2012-05-10,79.32,79.550003,78.629997,79.099998,45697800,71.443047
2012-05-11,78.449997,79.559998,78.419998,78.900002,44862900,71.262375
2012-05-14,78.089996,78.459999,77.610001,77.849998,51220200,70.314026
2012-05-15,77.830002,78.489998,77.470001,77.709999,54317800,70.187607
2012-05-16,77.980003,78.389999,77.099998,77.150002,52659400,69.681793
2012-05-17,77.220001,77.349998,75.360001,75.400002,71665100,68.101196
2012-05-18,75.389999,75.910004,74.489998,74.690002,77636200,67.459923
2012-05-21,74.93,76.449997,74.410004,76.449997,61384400,69.049568
2012-05-22,76.419998,77.029999,75.470001,75.989998,59678300,68.634079
2012-05-23,75.25,76.639999,74.690002,76.480003,66981800,69.07666
2012-05-24,76.43,76.739998,75.550003,76.639999,54576500,69.221146
2012-05-25,76.699997,76.889999,76.269997,76.589996,33847700,69.175995
2012-05-29,77.330002,77.910004,76.760002,77.699997,51160000,70.178558
2012-05-30,76.900002,77.040001,76.110001,76.209999,47891500,68.832809
2012-05-31,76.269997,76.589996,75.07,76.110001,59563900,68.742462
2012-06-01,74.400002,75.010002,73.709999,73.82,76127100,66.674133
2012-06-04,74.089996,74.349998,72.940002,73.650002,50123200,66.520607
2012-06-05,73.260002,74.669998,73.209999,74.599998,48270600,67.378624
2012-06-06,75.190002,76.510002,75.029999,76.440002,48638400,69.04052
2012-06-07,77.660004,77.720001,75.940002,75.940002,57907100,68.588921
2012-06-08,75.900002,77.059998,75.349998,76.970001,50420100,69.519218
2012-06-11,77.790001,77.860001,75.089996,75.269997,52803000,67.983772
2012-06-12,75.440002,76.260002,74.779999,76.220001,56599400,68.841812
2012-06-13,76.089996,76.540001,75,75.339996,62715800,68.046989
2012-06-14,75.379997,76.470001,75.160004,76.199997,53619000,68.823753
2012-06-15,76.349998,77.32,76.099998,77.220001,57935000,69.745026
2012-06-18,76.599998,77.599998,76.349998,77.309998,45656600,69.826324
2012-06-19,77.650002,79.080002,77.540001,78.650002,66897000,71.036591
2012-06-20,78.669998,79.080002,77.980003,78.529999,54642300,70.9282
2012-06-21,78.370003,78.529999,76.489998,76.620003,62486400,69.20311
2012-06-22,77.07,77.739998,76.650002,77.489998,41001200,69.988876
2012-06-25,76.400002,77.599998,76,76.279999,48620100,68.896019
2012-06-26,76.089996,76.580002,75.419998,76.199997,42495600,69.165588
2012-06-27,76.43,77.459999,76.360001,77.440002,38510400,70.291122
2012-06-28,76.779999,77.370003,76.120003,77.309998,58183700,70.173126
2012-06-29,78.940002,79.730003,78.559998,79.559998,71660200,72.215393
2012-07-02,79.919998,80.510002,79.279999,80.480003,53370400,73.050484
2012-07-03,80.559998,81.599998,80.43,81.529999,32322500,74.003578
2012-07-05,81.620003,81.839996,81.029999,81.440002,42819900,73.921898
2012-07-06,80.769997,80.830002,80.150002,80.529999,38530600,73.095848
2012-07-09,80.419998,80.529999,79.860001,80.220001,34636100,72.814491
2012-07-10,80.809998,80.959999,78.980003,79.330002,49990800,72.006653
2012-07-11,79.389999,79.650002,78.550003,79.059998,40171300,71.761574
2012-07-12,78.440002,79.099998,77.589996,78.790001,55502600,71.516479
2012-07-13,79.07,80.089996,79.019997,79.769997,42114800,72.406013
2012-07-16,79.620003,79.879997,79.110001,79.449997,31922600,72.115555
2012-07-17,79.980003,80.150002,78.650002,79.730003,43662500,72.36972
2012-07-18,79.599998,80.709999,79.550003,80.220001,46045000,72.814491
2012-07-19,80.550003,80.739998,79.809998,79.949997,49405400,72.569405
2012-07-20,79.330002,79.459999,78.809998,78.93,42314300,71.64357
2012-07-23,77.510002,78.029999,77.18,77.669998,47367200,70.499924
2012-07-24,77.949997,77.980003,76.220001,76.650002,55609200,69.574059
2012-07-25,77,77.379997,76.470001,76.82,37217500,69.728378
2012-07-26,77.980003,78.18,77,77.480003,44745100,70.327431
2012-07-27,77.830002,79.720001,77.389999,79.32,67297100,71.997559
2012-07-30,79.519997,79.910004,78.739998,79.050003,34785200,71.75251
2012-07-31,78.730003,79.470001,78.349998,78.349998,48933500,71.117104
2012-08-01,78.910004,79,77.040001,77.059998,63601100,69.946198
2012-08-02,76.269997,77.309998,76.25,76.779999,43374800,69.692062
2012-08-03,77.940002,79.019997,77.650002,78.610001,52414100,71.353119
2012-08-06,78.699997,79.629997,78.589996,79.220001,34662800,71.906807
2012-08-07,79.849998,80.57,79.639999,79.940002,50064000,72.560341
2012-08-08,79.599998,80.190002,79.540001,79.82,28011700,72.451408
2012-08-09,79.760002,80.389999,79.690002,80.199997,24045900,72.796341
2012-08-10,79.769997,80.050003,79.5,79.919998,26068400,72.542183
2012-08-13,79.800003,80.010002,78.889999,79.790001,31544800,72.424187
2012-08-14,80.300003,80.419998,79.269997,79.599998,26052900,72.251709
2012-08-15,79.379997,80.300003,79.309998,80.300003,27061400,72.8871
2012-08-16,80.18,81.300003,79.830002,81.139999,46037700,73.649551
2012-08-17,81.220001,81.860001,80.989998,81.709999,33453500,74.166931
2012-08-20,81.589996,81.660004,80.980003,81.529999,32657000,74.003578
2012-08-21,81.93,82.709999,81.190002,81.480003,43743800,73.958199
2012-08-22,81.269997,81.5,80.790001,81.089996,37611400,73.604156
2012-08-23,81.059998,81.059998,80.199997,80.519997,32208500,73.086784
2012-08-24,80.339996,81.07,80.110001,80.739998,25676100,73.286484
2012-08-27,81.230003,81.410004,80.580002,80.980003,23628400,73.504341
2012-08-28,80.970001,81.510002,80.75,81.349998,28505600,73.840164
2012-08-29,81.519997,81.959999,81.139999,81.599998,30858800,74.067093
2012-08-30,81.18,81.25,80.639999,80.790001,24562900,73.331856
2012-08-31,81.480003,81.529999,80.339996,81.120003,34088500,73.631401
2012-09-04,81.18,82.400002,80.550003,82.110001,69560700,74.529991
2012-09-05,82.199997,82.510002,81.849998,82.129997,35103700,74.548157
2012-09-06,82.580002,83.940002,82.519997,83.639999,46332500,75.918777
2012-09-07,83.860001,84.400002,83.699997,84.260002,32012900,76.481529
2012-09-10,84.18,84.449997,83.790001,83.879997,30671300,76.136604
2012-09-11,83.889999,84.559998,83.830002,84.059998,33164100,76.300011
2012-09-12,84.489998,84.650002,83.900002,84.489998,29751700,76.6903
2012-09-13,84.639999,86.150002,84.190002,85.599998,69437600,77.69783
2012-09-14,85.860001,86.959999,85.830002,86.400002,46040200,78.423981
2012-09-17,85.980003,86.220001,85.57,86,30183000,78.060898
2012-09-18,85.739998,85.900002,85.360001,85.720001,32991100,77.806763
2012-09-19,85.940002,86.029999,85.410004,85.57,29342000,77.670609
2012-09-20,85.139999,85.400002,84.610001,85.190002,34939800,77.325684
2012-09-21,86.040001,86.080002,85.470001,85.5,38826000,77.607056
2012-09-24,84.889999,85.43,84.599998,84.889999,54635300,77.353752
2012-09-25,85.43,85.510002,83.580002,83.669998,74752200,76.24205
2012-09-26,83.849998,83.93,82.839996,83.139999,42167400,75.759109
2012-09-27,83.489998,84.349998,83.07,84.040001,33252800,76.579216
2012-09-28,83.779999,84,83.260002,83.440002,43944300,76.032478
2012-10-01,83.959999,84.540001,83.309998,83.720001,43705600,76.287621
2012-10-02,84.150002,84.239998,83.370003,83.879997,25792500,76.433388
2012-10-03,83.940002,84.220001,83.169998,83.639999,38568500,76.214729
2012-10-04,83.959999,84.260002,83.199997,84.209999,43327200,76.734123
2012-10-05,84.580002,85.25,83.839996,84.110001,40981400,76.642998
2012-10-08,83.620003,83.900002,83.389999,83.580002,21062200,76.160049
2012-10-09,83.620003,83.699997,82.440002,82.599998,45221200,75.267059
2012-10-10,82.669998,82.830002,82.18,82.470001,32465600,75.14859
2012-10-11,83.099998,83.440002,82.599998,82.769997,38978500,75.421928
2012-10-12,82.739998,83.019997,81.910004,82.099998,31847100,74.811424
2012-10-15,82.339996,82.639999,81.760002,82.639999,34413700,75.303497
2012-10-16,83.080002,83.360001,82.879997,83.25,29234800,75.859329
2012-10-17,83.419998,84.150002,83.25,84,35466500,76.542755
2012-10-18,83.940002,84.150002,83.449997,83.540001,31431700,76.123596
2012-10-19,82.849998,82.879997,81.470001,81.849998,53565500,74.583611
2012-10-22,81.639999,81.970001,81.349998,81.830002,30682000,74.565392
2012-10-23,81.150002,81.529999,80.43,81.419998,40737600,74.191811
2012-10-24,81.699997,81.849998,80.910004,81.199997,24472200,73.991302
2012-10-25,81.879997,82.139999,80.870003,81.529999,27794000,74.29203
2012-10-26,81.440002,81.900002,80.459999,81.139999,41402800,73.936661
2012-10-31,81.160004,81.650002,80.879997,81.629997,24879800,74.383171
2012-11-01,81.82,82.709999,81.519997,82.489998,77113300,75.166801
2012-11-02,82.889999,82.949997,81.169998,81.190002,39322100,73.982231
2012-11-05,81.18,81.839996,80.919998,81.730003,26861600,74.474274
2012-11-06,82.029999,82.57,81.970001,82.339996,27342500,75.030128
2012-11-07,81.370003,81.370003,79.910004,80.339996,65095500,73.20768
2012-11-08,80.169998,80.5,79.150002,79.209999,42653100,72.178017
2012-11-09,78.870003,79.970001,78.699997,79.379997,33030000,72.332916
2012-11-12,79.559998,79.660004,79.029999,79.150002,20155100,72.123299
