"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,57.740002,58.310001,56.779999,57.16,9054000,43.460133
2012-01-04,56.98,57.040001,56.290001,56.52,12839200,42.973522
2012-01-05,56.34,57.040001,56.060001,56.93,6432700,43.285248
2012-01-06,57.099998,57.25,56.57,56.830002,4222200,43.209217
2012-01-09,56.93,57.040001,56.529999,56.669998,4740100,43.087566
2012-01-10,57.259998,57.59,57.209999,57.299999,4974000,43.566566
2012-01-11,57.150002,57.889999,57.080002,57.810001,3815400,43.954338
2012-01-12,57.790001,57.880001,57.119999,57.43,5969400,43.665409
2012-01-13,57.16,57.700001,56.950001,57.689999,5269500,43.863102
2012-01-17,58.220001,58.419998,57.830002,57.990002,3982100,44.091209
2012-01-18,58.049999,58.560001,57.900002,58.360001,4770600,44.372517
2012-01-19,58.52,58.91,58.360001,58.73,4669000,44.653835
2012-01-20,58.669998,59.049999,58.43,59.009998,4834900,44.866726
2012-01-23,59.119999,59.450001,58.849998,59.189999,4906000,45.003601
2012-01-24,58.849998,59.580002,58.790001,59.52,3989900,45.254486
2012-01-25,59.450001,60.369999,59.27,60.279999,6738800,45.832344
2012-01-26,60.549999,61.02,60.439999,60.630001,10459000,46.098461
2012-01-27,60.459999,60.919998,60.240002,60.779999,4896000,46.212505
2012-01-30,60.259998,60.369999,59.970001,60.25,4588300,45.809532
2012-01-31,60.540001,60.630001,60.119999,60.560001,4973500,46.045231
2012-02-01,61.009998,61.119999,60.73,61.009998,4513700,46.387367
2012-02-02,61.07,61.189999,60.849998,61.139999,3502700,46.48621
2012-02-03,61.799999,62.040001,61.450001,62.02,7577900,47.1553
2012-02-06,61.880001,62,61.5,61.720001,3969300,46.927208
2012-02-07,61.619999,61.82,61.43,61.669998,3224800,46.889187
2012-02-08,61.669998,61.84,61.200001,61.709999,4331100,46.919598
2012-02-09,61.630001,61.82,60.91,61.259998,4309900,46.577457
2012-02-10,60.650002,61.09,60.57,60.75,3688700,46.18969
2012-02-13,61.279999,61.529999,61.02,61.439999,4356200,46.714321
2012-02-14,61.389999,61.41,60.470001,60.830002,4864400,46.25053
