"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,23.02,23.190001,23.02,23.139999,191900,19.577578
2012-01-04,22.940001,23.040001,22.790001,23.01,110000,19.467592
2012-01-05,22.58,22.639999,22.469999,22.620001,299700,19.137632
2012-01-06,22.51,22.51,22.299999,22.379999,94500,18.93458
2012-01-09,22.459999,22.540001,22.370001,22.540001,529600,19.06995
2012-01-10,22.73,22.75,22.66,22.700001,92300,19.205318
2012-01-11,22.459999,22.530001,22.35,22.52,111300,19.05303
2012-01-12,22.73,22.85,22.629999,22.799999,236300,19.289921
2012-01-13,22.42,22.540001,22.25,22.540001,225100,19.06995
2012-01-17,22.690001,22.809999,22.620001,22.620001,245200,19.137632
2012-01-18,22.98,23.33,22.91,23.309999,132600,19.721405
2012-01-19,23.51,23.690001,23.41,23.68,95700,20.034445
2012-01-20,23.530001,23.530001,23.4,23.51,293500,19.890617
2012-01-23,23.59,23.68,23.52,23.67,139500,20.025982
2012-01-24,23.43,23.639999,23.370001,23.6,388200,19.966763
2012-01-25,23.25,23.700001,23.18,23.66,134800,20.017523
2012-01-26,23.77,23.799999,23.59,23.620001,114500,19.983683
2012-01-27,23.530001,23.709999,23.48,23.690001,66300,20.042906
2012-01-30,23.26,23.33,23.219999,23.290001,194200,19.704485
2012-01-31,23.42,23.43,23.190001,23.32,100900,19.729866
2012-02-01,23.629999,23.85,23.610001,23.73,118600,20.076746
2012-02-02,23.66,23.76,23.6,23.74,193800,20.085207
2012-02-03,23.780001,24.040001,23.77,24.02,337300,20.3221
2012-02-06,23.76,23.98,23.75,23.969999,145800,20.2798
2012-02-07,23.950001,24.190001,23.870001,24.18,147900,20.45747
2012-02-08,24.17,24.25,24.08,24.23,107500,20.499773
2012-02-09,24.309999,24.33,24.129999,24.309999,160000,20.567453
2012-02-10,23.82,23.969999,23.82,23.940001,346500,20.254417
2012-02-13,24.23,24.23,24.110001,24.17,72500,20.449007
2012-02-14,24.02,24.110001,23.860001,24.02,409300,20.3221
2012-02-15,24.139999,24.139999,23.940001,24,596400,20.30518
2012-02-16,24,24.370001,23.99,24.32,223800,20.575914
2012-02-17,24.43,24.450001,24.299999,24.41,95600,20.652058
2012-02-21,24.49,24.58,24.4,24.469999,249300,20.702822
2012-02-22,24.35,24.440001,24.280001,24.370001,147500,20.618219
2012-02-23,24.459999,24.620001,24.33,24.610001,164900,20.82127
2012-02-24,24.67,24.809999,24.620001,24.75,140600,20.939718
2012-02-27,24.41,24.700001,24.379999,24.629999,94300,20.838192
2012-02-28,24.6,24.73,24.52,24.66,149400,20.863573
2012-02-29,24.700001,24.76,24.34,24.35,156300,20.601297
2012-03-01,24.41,24.540001,24.4,24.530001,319900,20.753588
2012-03-02,24.299999,24.379999,24.209999,24.33,121400,20.584377
2012-03-05,24.35,24.41,24.25,24.35,62300,20.601297
2012-03-06,23.860001,23.860001,23.540001,23.66,333500,20.017523
2012-03-07,23.799999,24.01,23.780001,23.99,322200,20.296719
2012-03-08,24.34,24.620001,24.299999,24.559999,79100,20.778969
2012-03-09,24.41,24.459999,24.35,24.42,113700,20.660521
2012-03-12,24.43,24.49,24.32,24.459999,85700,20.694363
2012-03-13,24.469999,24.700001,24.469999,24.690001,213900,20.888956
2012-03-14,24.67,24.719999,24.469999,24.559999,199800,20.778969
2012-03-15,24.629999,24.950001,24.610001,24.9,142700,21.066624
2012-03-16,25.01,25.129999,25,25.02,103000,21.168152
2012-03-19,24.950001,25.24,24.940001,25.190001,79200,21.311979
2012-03-20,24.92,25.09,24.879999,25.030001,99800,21.176609
2012-03-21,25.02,25.09,24.85,24.92,150900,21.083544
2012-03-22,24.66,24.75,24.59,24.719999,108000,20.914335
2012-03-23,24.719999,24.860001,24.65,24.85,375700,21.024323
2012-03-26,25.129999,25.23,25.059999,25.209999,116100,21.328901
2012-03-27,25.15,25.15,25,25,62500,21.15123
2012-03-28,25.049999,25.08,24.85,24.959999,481600,21.117386
2012-03-29,24.67,24.76,24.549999,24.73,172500,20.922794
2012-03-30,24.959999,25.07,24.870001,25.030001,218400,21.176609
2012-04-02,24.99,25.41,24.969999,25.360001,120100,21.455807
2012-04-03,25.280001,25.33,24.9,25.02,274000,21.168152
2012-04-04,24.610001,24.629999,24.41,24.559999,310500,20.778969
2012-04-05,24.309999,24.450001,24.25,24.32,234500,20.575914
2012-04-09,24.02,24.34,24.02,24.26,237200,20.525152
2012-04-10,24.200001,24.209999,23.799999,23.799999,404700,20.135971
2012-04-11,24.129999,24.16,24.01,24.040001,135100,20.339024
2012-04-12,24.209999,24.540001,24.209999,24.530001,86100,20.753588
2012-04-13,24.27,24.27,24.030001,24.049999,120600,20.347481
2012-04-16,24.18,24.389999,24.049999,24.32,183100,20.575914
2012-04-17,24.549999,24.74,24.469999,24.709999,96700,20.905874
2012-04-18,24.440001,24.6,24.4,24.52,137500,20.745129
2012-04-19,24.610001,24.780001,24.57,24.67,170900,20.872034
2012-04-20,24.780001,25,24.780001,24.93,232500,21.092007
2012-04-23,24.5,24.6,24.34,24.559999,191300,20.778969
2012-04-24,24.52,24.690001,24.51,24.559999,99700,20.778969
2012-04-25,24.76,24.879999,24.719999,24.860001,249600,21.032784
2012-04-26,24.719999,24.92,24.68,24.879999,169000,21.0497
2012-04-27,24.889999,24.92,24.799999,24.84,129200,21.015863
2012-04-30,24.879999,24.889999,24.719999,24.82,170000,20.998941
2012-05-01,24.85,25.059999,24.84,24.99,209400,21.142769
2012-05-02,24.75,24.799999,24.629999,24.77,336300,20.956638
2012-05-03,24.76,24.780001,24.530001,24.540001,169400,20.762049
2012-05-04,24.549999,24.620001,24.219999,24.299999,519300,20.558994
2012-05-07,24.18,24.299999,24.129999,24.27,193000,20.533613
2012-05-08,24,24.030001,23.83,23.98,286800,20.288258
2012-05-09,23.52,23.719999,23.389999,23.639999,328400,20.000601
2012-05-10,23.66,23.700001,23.530001,23.57,313900,19.94138
2012-05-11,23.43,23.709999,23.42,23.52,190000,19.899075
2012-05-14,23.190001,23.24,23.09,23.09,192600,19.535275
2012-05-15,23.02,23.120001,22.84,22.860001,220000,19.340683
2012-05-16,23.01,23.110001,22.77,22.790001,211000,19.281462
2012-05-17,22.77,22.82,22.57,22.58,332100,19.103792
2012-05-18,22.700001,22.73,22.49,22.559999,549500,19.086868
2012-05-21,22.700001,22.950001,22.67,22.940001,225700,19.408369
2012-05-22,23,23.15,22.780001,22.85,1013500,19.332224
2012-05-23,22.74,22.75,22.360001,22.68,162000,19.188393
2012-05-24,22.58,22.65,22.370001,22.49,193700,19.027647
2012-05-25,22.41,22.559999,22.41,22.49,302400,19.027647
2012-05-29,22.719999,22.790001,22.530001,22.66,262000,19.171473
2012-05-30,22.530001,22.540001,22.309999,22.32,151600,18.88382
2012-05-31,22.34,22.34,22.049999,22.25,510800,18.824594
2012-06-01,21.99,22.07,21.82,21.93,541100,18.553858
2012-06-04,21.959999,22.02,21.76,21.879999,305600,18.511553
2012-06-05,21.82,21.91,21.690001,21.82,1511800,18.460794
2012-06-06,22,22.51,22,22.5,349700,19.036106
2012-06-07,22.719999,22.75,22.530001,22.540001,133900,19.06995
2012-06-08,22.26,22.549999,22.23,22.51,177100,19.044567
2012-06-11,22.700001,22.709999,22.33,22.34,418100,18.90074
2012-06-12,22.52,22.709999,22.35,22.700001,154200,19.205318
2012-06-13,22.620001,22.950001,22.559999,22.790001,1069200,19.281462
2012-06-14,22.700001,22.870001,22.66,22.809999,335500,19.29838
2012-06-15,22.75,22.940001,22.75,22.91,222700,19.382986
2012-06-18,22.83,22.940001,22.790001,22.83,86100,19.315302
2012-06-19,23.129999,23.5,23.129999,23.360001,99100,19.76371
2012-06-20,23.27,23.5,23.16,23.32,169100,19.729866
2012-06-21,22.700001,22.719999,22.24,22.26,176500,19.358522
2012-06-22,22.469999,22.469999,22.26,22.43,963600,19.506367
