"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,22,22.379999,22,22.290001,3500,22.290001
2012-01-04,22.1,22.190001,22.1,22.16,900,22.16
2012-01-05,21.77,21.91,21.77,21.85,1800,21.85
2012-01-06,22.129999,22.129999,21.49,21.5,1300,21.5
2012-01-09,21.93,22.139999,21.74,22.139999,1000,22.139999
2012-01-10,22,22.07,22,22.07,500,22.07
2012-01-11,21.83,21.85,21.700001,21.73,2500,21.73
2012-01-12,20.85,21.290001,20.85,21.290001,1900,21.290001
2012-01-13,21.16,21.16,21.16,21.16,1100,21.16
2012-01-17,21.209999,21.209999,21.200001,21.200001,1800,21.200001
2012-01-18,21.110001,21.16,21.110001,21.16,2000,21.16
2012-01-19,21.379999,21.379999,21.379999,21.379999,1000,21.379999
2012-01-20,21.34,21.34,21.34,21.34,200,21.34
2012-01-23,21.34,21.34,21.34,21.34,0,21.34
2012-01-24,21.34,21.34,21.34,21.34,0,21.34
2012-01-25,21.68,21.83,21.68,21.83,5900,21.83
2012-01-26,21.99,21.99,21.75,21.75,600,21.75
2012-01-27,21.75,21.75,21.75,21.75,0,21.75
2012-01-30,21.65,21.66,21.1,21.1,10500,21.1
2012-01-31,21.4,21.4,21.4,21.4,100,21.4
2012-02-01,21.4,21.4,21.4,21.4,0,21.4
2012-02-02,21.4,21.4,21.4,21.4,0,21.4
2012-02-03,21.809999,22.040001,21.809999,22.040001,700,22.040001
2012-02-06,22.049999,22.07,22,22.07,2400,22.07
2012-02-07,21.99,21.99,21.389999,21.9,4700,21.9
2012-02-08,21.950001,22.02,21.93,22.02,13900,22.02
2012-02-09,22.08,22.200001,22.08,22.08,7300,22.08
2012-02-10,22.08,22.08,22.08,22.08,0,22.08
2012-02-13,21.959999,22.200001,21.959999,22.200001,2000,22.200001
2012-02-14,22.280001,22.360001,22.27,22.27,11000,22.27
2012-02-15,22.42,22.42,22.299999,22.360001,1700,22.360001
2012-02-16,22.57,22.57,22.32,22.32,700,22.32
2012-02-17,22.32,22.639999,22.32,22.459999,500,22.459999
2012-02-21,22.42,22.42,22.32,22.370001,1500,22.370001
2012-02-22,22.690001,22.690001,22.35,22.35,300,22.35
2012-02-23,22.540001,22.879999,22.49,22.879999,4600,22.879999
