"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,127.760002,128.380005,127.43,127.5,193697900,110.244629
2012-01-04,127.199997,127.809998,126.709999,127.699997,127186500,110.417557
2012-01-05,127.010002,128.229996,126.43,128.039993,173895000,110.711548
2012-01-06,128.199997,128.220001,127.290001,127.709999,148050000,110.426208
2012-01-09,128,128.179993,127.410004,128.020004,99530200,110.69426
2012-01-10,129.389999,129.649994,128.949997,129.130005,115282000,111.654045
2012-01-11,128.729996,129.369995,128.520004,129.199997,111540700,111.714554
2012-01-12,129.570007,129.699997,128.539993,129.509995,118983700,111.98259
2012-01-13,128.639999,129.050003,127.720001,128.839996,179836200,111.403275
2012-01-17,130.080002,130.320007,128.899994,129.339996,132209200,111.835632
2012-01-18,129.309998,130.839996,129.080002,130.770004,163395200,113.072098
2012-01-19,131.220001,131.570007,130.800003,131.460007,126328900,113.668709
2012-01-20,131.240005,131.949997,130.919998,131.949997,138230200,114.092407
2012-01-23,131.509995,132.25,130.979996,131.610001,129295800,113.79837
2012-01-24,130.800003,131.5,130.600006,131.460007,103083300,113.668709
2012-01-25,131.259995,132.869995,130.75,132.559998,198613200,114.619827
2012-01-26,133.149994,133.399994,131.360001,131.880005,184880500,114.031883
2012-01-27,131.240005,132.050003,131.149994,131.820007,135259100,113.980011
2012-01-30,130.509995,131.440002,130.059998,131.369995,147311800,113.590881
2012-01-31,132.020004,132.179993,130.679993,131.320007,157212000,113.547661
2012-02-01,132.289993,133.139999,132.130005,132.470001,166234500,114.542015
2012-02-02,132.729996,133.020004,132.210007,132.679993,113090400,114.723579
2012-02-03,134,134.619995,133.770004,134.539993,160598500,116.331863
2012-02-06,133.979996,134.509995,133.830002,134.449997,107694500,116.254051
2012-02-07,134.169998,135.020004,133.639999,134.789993,135528100,116.548042
2012-02-08,134.860001,135.220001,134.309998,135.190002,139361400,116.893898
2012-02-09,135.410004,135.589996,134.559998,135.360001,148602900,117.040901
2012-02-10,134.160004,134.470001,133.839996,134.360001,167907500,116.176231
2012-02-13,135.320007,135.520004,134.740005,135.360001,115841900,117.040901
2012-02-14,135,135.270004,134.25,135.190002,165329500,116.893898
2012-02-15,135.630005,135.830002,134.289993,134.559998,195195100,116.349159
2012-02-16,134.570007,136.169998,134.330002,136.050003,186567800,117.63752
2012-02-17,136.520004,136.630005,135.960007,136.410004,129869400,117.948776
