"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,84.510002,86,84.349998,85.580002,28400,85.580002
2012-01-04,86.110001,86.389999,85.099998,85.099998,9700,85.099998
2012-01-05,85.209999,85.220001,80.269997,81.339996,110400,81.339996
2012-01-06,81.349998,81.669998,80.849998,81.480003,18500,81.480003
2012-01-09,80.980003,82.040001,79.839996,81.050003,22300,81.050003
2012-01-10,80.800003,81.839996,80.660004,81.739998,12600,81.739998
2012-01-11,81.349998,83.279999,81.290001,83.050003,15300,83.050003
2012-01-12,82.730003,82.849998,81.129997,81.5,30000,81.5
2012-01-13,81.839996,83.82,81.050003,83.519997,23000,83.519997
2012-01-17,83.160004,84.809998,82.559998,83.940002,23600,83.940002
2012-01-18,84.150002,84.410004,83.699997,84.330002,10900,84.330002
2012-01-19,85.849998,87.279999,85.370003,87.239998,26400,87.239998
2012-01-20,86.760002,87.379997,85.580002,87.239998,27600,87.239998
2012-01-23,87.150002,87.870003,86.870003,87.110001,19900,87.110001
2012-01-24,87.629997,88.379997,86.800003,86.970001,51300,86.970001
2012-01-25,86.870003,86.870003,85.389999,86.260002,25900,86.260002
2012-01-26,87.580002,87.580002,86,86.470001,18100,86.470001
2012-01-27,84.809998,85.370003,84.610001,84.809998,16300,84.809998
2012-01-30,84.790001,85.019997,83.300003,83.410004,14300,83.410004
2012-01-31,84.010002,84.269997,83.07,83.099998,12400,83.099998
2012-02-01,82.620003,82.970001,82.239998,82.970001,14200,82.970001
2012-02-02,82.400002,83.389999,82.169998,82.730003,11500,82.730003
2012-02-03,83.699997,84.599998,83.07,83.970001,15700,83.970001
2012-02-06,84.540001,86.370003,84.540001,86.089996,18300,86.089996
2012-02-07,85.019997,86.410004,84.919998,85.779999,22700,85.779999
2012-02-08,86.150002,86.809998,85.690002,86.019997,9400,86.019997
2012-02-09,87.029999,87.25,85.470001,85.580002,13800,85.580002
2012-02-10,85.360001,86.550003,85.360001,86.099998,10300,86.099998
2012-02-13,86.769997,86.830002,85.68,86.040001,6800,86.040001
2012-02-14,85.529999,85.529999,83.779999,84.82,12800,84.82
2012-02-15,85.32,85.650002,84.309998,85.529999,7600,85.529999
2012-02-16,85.769997,86.68,85.57,85.760002,21800,85.760002
2012-02-17,86.339996,86.599998,85.900002,86.199997,7400,86.199997
2012-02-21,87.5,89.260002,87.25,89.209999,33800,89.209999
2012-02-22,88.489998,90,88.290001,89.860001,48900,89.860001
2012-02-23,89.57,90.589996,88.769997,90.589996,43700,90.589996
2012-02-24,90.809998,91.959999,90.690002,91.760002,34200,91.760002
2012-02-27,92.120003,93.690002,92.120003,92.809998,50800,92.809998
2012-02-28,92.940002,92.940002,91.870003,92.099998,26100,92.099998
2012-02-29,91.209999,91.300003,89.349998,91.029999,46100,91.029999
2012-03-01,89.489998,91.239998,88.830002,90.720001,166000,90.720001
2012-03-02,90,91.519997,89.559998,90.860001,28500,90.860001
2012-03-05,90.050003,90.519997,89.300003,89.470001,19100,89.470001
2012-03-06,87.730003,88.129997,87.120003,87.209999,76800,87.209999
2012-03-07,87.110001,87.93,85.75,86.779999,47300,86.779999
2012-03-08,87.050003,87.82,86.639999,87.089996,26600,87.089996
2012-03-09,85.650002,86.07,85.459999,85.550003,29200,85.550003
2012-03-12,84.790001,86.639999,84.790001,86.440002,32900,86.440002
2012-03-13,85.510002,87.709999,85.470001,86.980003,20000,86.980003
2012-03-14,87.5,88.790001,87.150002,88.349998,24000,88.349998
2012-03-15,91.779999,92.860001,91.489998,92.769997,21300,92.769997
2012-03-16,92.040001,92.419998,90.970001,92.419998,104200,92.419998
2012-03-19,92.660004,93.290001,91.769997,93.169998,23600,93.169998
2012-03-20,94.160004,94.849998,92.209999,92.519997,27100,92.519997
