"Index","Open","High","Low","Close","Volume","Adjusted"
2012-01-03,25.870001,26.02,25.790001,25.809999,26839900,22.811302
2012-01-04,25.799999,25.93,25.66,25.879999,4744300,22.873173
2012-01-05,25.85,26.01,25.73,25.959999,6756900,22.943874
2012-01-06,25.98,26.030001,25.85,25.969999,4989200,22.952709
2012-01-09,26.059999,26.08,25.860001,25.93,4086600,22.917356
2012-01-10,26.18,26.23,26.02,26.02,5733100,22.996904
2012-01-11,25.969999,26.17,25.950001,26.1,4153800,23.067606
2012-01-12,26.16,26.25,26.01,26.23,4865500,23.182505
2012-01-13,26.07,26.110001,25.889999,26.08,5971500,23.049932
2012-01-17,26.26,26.379999,26.139999,26.200001,5533100,23.155993
2012-01-18,26.27,26.610001,26.26,26.58,7209400,23.491838
2012-01-19,26.719999,26.83,26.690001,26.77,7425200,23.659769
2012-01-20,26.719999,26.84,26.709999,26.799999,13360300,23.686274
2012-01-23,26.84,27.030001,26.719999,26.889999,29022200,23.765823
2012-01-24,26.77,26.92,26.74,26.870001,5750900,23.748152
2012-01-25,27.120001,27.16,26.84,27.08,17934200,23.933748
2012-01-26,27.17,27.200001,26.790001,26.9,8712900,23.774668
2012-01-27,26.799999,26.969999,26.799999,26.9,8260200,23.774668
2012-01-30,26.67,27.02,26.65,26.98,7691200,23.845369
2012-01-31,27.16,27.17,26.870001,27.030001,8089300,23.889561
2012-02-01,27.290001,27.42,27.190001,27.299999,8972400,24.128189
2012-02-02,27.4,27.48,27.299999,27.370001,6020500,24.190063
2012-02-03,27.6,27.77,27.549999,27.719999,7393200,24.49939
2012-02-06,27.639999,27.75,27.57,27.73,6700600,24.508226
2012-02-07,27.719999,27.870001,27.59,27.799999,7388000,24.570095
2012-02-08,27.860001,28,27.77,27.969999,11494900,24.720341
2012-02-09,28.1,28.280001,28.01,28.24,9486400,24.958973
2012-02-10,28.049999,28.09,27.93,28.030001,6369500,24.773376
2012-02-13,28.23,28.27,28.049999,28.209999,8422000,24.932459
2012-02-14,28.18,28.280001,28.030001,28.26,6543000,24.976654
2012-02-15,28.4,28.58,28.059999,28.110001,12213100,24.844078
2012-02-16,28.110001,28.549999,28.07,28.52,10047800,25.206444
2012-02-17,28.610001,28.610001,28.42,28.52,9285000,25.206444
2012-02-21,28.559999,28.77,28.469999,28.639999,9720400,25.312502
2012-02-22,28.6,28.67,28.48,28.540001,8103000,25.224123
2012-02-23,28.51,28.700001,28.35,28.65,5506700,25.321341
2012-02-24,28.75,28.870001,28.74,28.82,5496000,25.471584
2012-02-27,28.68,28.950001,28.530001,28.870001,8526500,25.515783
2012-02-28,28.9,29.08,28.84,29.08,10110100,25.701382
2012-02-29,29.1,29.209999,28.84,28.950001,10455800,25.586483
2012-03-01,29.1,29.17,28.969999,29.120001,13972400,25.736734
2012-03-02,29.1,29.190001,29,29.08,8785400,25.701382
2012-03-05,29.049999,29.1,28.719999,28.83,7246200,25.480431
2012-03-06,28.549999,28.610001,28.389999,28.549999,14036400,25.232956
2012-03-07,28.67,28.799999,28.629999,28.76,10791000,25.418558
2012-03-08,28.91,29.110001,28.85,29.049999,7258900,25.674866
2012-03-09,29.09,29.209999,29.08,29.18,6365800,25.789766
2012-03-12,29.16,29.25,29.08,29.219999,5926800,25.825117
2012-03-13,29.389999,29.799999,29.360001,29.799999,19012100,26.337729
2012-03-14,29.82,30.040001,29.719999,29.91,12741800,26.434948
2012-03-15,30.030001,30.059999,29.860001,29.99,12450500,26.505653
2012-03-16,29.969999,29.969999,29.83,29.879999,9478800,26.49324
2012-03-19,29.940001,30.17,29.870001,30.1,8930800,26.688305
2012-03-20,29.92,30.110001,29.84,30.07,5713100,26.661701
2012-03-21,30.120001,30.25,30.049999,30.059999,8825000,26.65284
2012-03-22,29.93,30.07,29.879999,29.99,7500900,26.590771
2012-03-23,30.040001,30.040001,29.83,29.99,9511600,26.590771
2012-03-26,30.190001,30.440001,30.120001,30.43,12187200,26.980902
2012-03-27,30.459999,30.540001,30.4,30.42,6438000,26.972033
2012-03-28,30.42,30.530001,30.16,30.309999,6489500,26.874506
2012-03-29,30.15,30.290001,30.030001,30.25,5737200,26.821301
2012-03-30,30.35,30.379999,30.07,30.16,8007300,26.741501
2012-04-02,30.15,30.52,30.09,30.48,16407800,27.02523
2012-04-03,30.530001,30.620001,30.299999,30.459999,6776200,27.007505
2012-04-04,30.209999,30.23,29.91,30.1,9209800,26.688305
2012-04-05,30,30.200001,29.969999,30.17,5059900,26.75037
2012-04-09,29.799999,30.110001,29.780001,29.959999,6889900,26.564177
2012-04-10,29.969999,30.09,29.469999,29.540001,14372900,26.191778
2012-04-11,29.780001,29.860001,29.639999,29.709999,9306600,26.34251
2012-04-12,29.780001,30.110001,29.75,30.08,9069500,26.67057
2012-04-13,30,30,29.58,29.610001,10530400,26.253845
2012-04-16,29.780001,29.790001,29.25,29.299999,20489000,25.978983
2012-04-17,29.4,29.99,29.389999,29.940001,10269100,26.54644
2012-04-18,29.77,29.85,29.620001,29.719999,7106400,26.351379
2012-04-19,29.620001,29.889999,29.219999,29.389999,19232600,26.058777
2012-04-20,29.51,29.629999,29.25,29.280001,11621300,25.961246
2012-04-23,29.049999,29.129999,28.799999,29.049999,15530300,25.757315
2012-04-24,29.02,29.200001,28.879999,28.99,9624400,25.704124
2012-04-25,29.620001,29.84,29.620001,29.809999,14355200,26.431173
2012-04-26,29.799999,30.1,29.799999,30.040001,9476800,26.635105
2012-04-27,30.08,30.129999,29.91,30.030001,5676600,26.626245
2012-04-30,29.99,30.01,29.780001,29.82,10061800,26.440041
2012-05-01,29.799999,30.219999,29.76,29.92,11677900,26.528706
2012-05-02,29.76,29.950001,29.690001,29.940001,6421300,26.54644
2012-05-03,29.99,30,29.610001,29.690001,9198900,26.32478
2012-05-04,29.43,29.48,29.059999,29.07,12093600,25.775049
2012-05-07,28.889999,29.139999,28.84,28.99,8082700,25.704124
2012-05-08,28.84,28.969999,28.52,28.889999,10170800,25.61545
2012-05-09,28.59,29.030001,28.48,28.889999,10461800,25.61545
2012-05-10,28.93,28.950001,28.610001,28.67,8644300,25.420391
2012-05-11,28.610001,29,28.57,28.690001,7161500,25.438122
2012-05-14,28.49,28.66,28.4,28.440001,14054300,25.216463
2012-05-15,28.51,28.700001,28.299999,28.360001,8441600,25.145525
2012-05-16,28.49,28.51,28.1,28.129999,12809400,24.941589
2012-05-17,28.17,28.219999,27.719999,27.73,11276300,24.586937
2012-05-18,27.84,27.93,27.41,27.469999,12598100,24.3564
2012-05-21,27.530001,28.16,27.469999,28.15,8552200,24.959328
2012-05-22,28.24,28.32,27.9,28.059999,7814300,24.87953
2012-05-23,27.85,28.17,27.59,28.09,8718700,24.906126
2012-05-24,28.17,28.18,27.719999,27.93,8300400,24.764265
2012-05-25,27.91,27.98,27.809999,27.870001,5005200,24.711065
2012-05-29,28.16,28.360001,28.040001,28.24,7334200,25.039127
2012-05-30,27.99,28.15,27.9,28.059999,5551500,24.87953
2012-05-31,28.01,28.110001,27.73,27.93,11922100,24.764265
2012-06-01,27.450001,27.610001,27.200001,27.200001,12014300,24.117008
2012-06-04,27.290001,27.42,27.040001,27.360001,7853300,24.258871
2012-06-05,27.290001,27.559999,27.26,27.530001,7134000,24.409601
2012-06-06,27.719999,28.190001,27.709999,28.16,8870300,24.968195
2012-06-07,28.43,28.440001,28,28.02,6681100,24.844067
2012-06-08,28,28.35,27.92,28.33,7605100,25.118927
2012-06-11,28.559999,28.58,27.879999,27.93,13558700,24.764265
2012-06-12,27.99,28.24,27.83,28.209999,8009400,25.012527
2012-06-13,28.17,28.309999,27.959999,28.040001,11354500,24.861797
2012-06-14,28.059999,28.280001,27.879999,28.18,10581200,24.985929
2012-06-15,28.18,28.440001,28.139999,28.370001,14601700,25.252071
2012-06-18,28.280001,28.690001,28.24,28.58,8636200,25.438992
2012-06-19,28.73,28.92,28.700001,28.799999,6556000,25.634809
2012-06-20,28.84,28.940001,28.620001,28.85,9480800,25.679314
2012-06-21,28.83,28.870001,28.129999,28.17,6172300,25.074045
2012-06-22,28.27,28.51,28.209999,28.48,14264300,25.349976
2012-06-25,28.219999,28.219999,27.85,27.9,5464400,24.833719
2012-06-26,27.98,28.08,27.809999,28.01,5620500,24.931631
2012-06-27,28.129999,28.26,28.059999,28.18,7437700,25.082952
2012-06-28,27.99,28.030001,27.629999,27.950001,10546900,24.878227
2012-06-29,28.43,28.77,28.360001,28.73,8999700,25.572506
2012-07-02,28.809999,28.9,28.67,28.889999,8471400,25.714918
2012-07-03,28.870001,29.120001,28.85,29.120001,3425500,25.919641
2012-07-05,29.049999,29.27,28.93,29.120001,7064600,25.919641
2012-07-06,28.93,28.93,28.49,28.690001,6902200,25.5369
2012-07-09,28.620001,28.690001,28.459999,28.629999,7319700,25.483496
2012-07-10,28.74,28.84,28.209999,28.309999,7290100,25.198662
2012-07-11,28.290001,28.360001,27.950001,28.18,7842100,25.082952
2012-07-12,27.98,28.02,27.67,27.9,9757900,24.833719
2012-07-13,27.959999,28.34,27.950001,28.27,6889400,25.163057
2012-07-16,28.27,28.379999,28.18,28.24,4710300,25.136354
2012-07-17,28.42,28.440001,28,28.35,8381900,25.234262
2012-07-18,28.35,28.91,28.33,28.84,8130200,25.670416
2012-07-19,29.02,29.190001,28.98,29.09,9842400,25.892942
2012-07-20,29.040001,29.07,28.74,28.76,15705300,25.599209
2012-07-23,28.27,28.58,28.049999,28.48,6525100,25.349976
2012-07-24,28.49,28.559999,28.01,28.190001,7875900,25.091852
2012-07-25,27.99,28.26,27.92,28.08,8230600,24.99394
2012-07-26,28.49,28.629999,28.35,28.51,7044000,25.37668
2012-07-27,28.67,29.18,28.59,29.129999,9139100,25.928537
2012-07-30,29.17,29.360001,29.08,29.139999,8926500,25.937439
2012-07-31,29.219999,29.42,29.200001,29.26,8740300,26.044252
2012-08-01,29.450001,29.450001,29.059999,29.16,9120300,25.955244
2012-08-02,28.92,29.299999,28.82,28.969999,6630400,25.786125
