"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,22.870001,22.93,22.84,22.92,5083600,22.898422
2010-01-05,22.889999,22.959999,22.84,22.91,6185000,22.888432
2010-01-06,22.950001,22.969999,22.83,22.85,5693300,22.828487
2010-01-07,22.959999,23.030001,22.959999,23,5844100,22.978346
2010-01-08,22.889999,23.030001,22.83,22.84,7371900,22.818497
2010-01-11,22.74,22.75,22.65,22.719999,8037200,22.69861
2010-01-12,22.719999,22.73,22.629999,22.719999,10486900,22.69861
2010-01-13,22.629999,22.719999,22.620001,22.700001,4659400,22.678629
2010-01-14,22.68,22.709999,22.6,22.639999,7799800,22.618685
2010-01-15,22.75,22.83,22.75,22.77,3053400,22.748564
2010-01-19,22.860001,22.91,22.83,22.84,3527200,22.818497
2010-01-20,23.07,23.15,23.059999,23.120001,8332600,23.098234
2010-01-21,23.16,23.209999,23.040001,23.120001,7817500,23.098234
2010-01-22,23.120001,23.16,23.02,23.08,3961500,23.058271
2010-01-25,23.1,23.1,23.030001,23.049999,4221400,23.028299
2010-01-26,23.18,23.190001,23.1,23.15,7508800,23.128204
2010-01-27,23.17,23.26,23.129999,23.23,7955000,23.20813
2010-01-28,23.23,23.290001,23.219999,23.27,5930300,23.248093
2010-01-29,23.35,23.450001,23.33,23.450001,8886700,23.427923
2010-02-01,23.360001,23.41,23.34,23.35,5346900,23.328018
2010-02-02,23.32,23.34,23.27,23.27,4624700,23.248093
2010-02-03,23.33,23.43,23.309999,23.4,7748900,23.37797
2010-02-04,23.5,23.559999,23.48,23.549999,9522800,23.527828
2010-02-05,23.620001,23.77,23.610001,23.65,17374200,23.627735
2010-02-08,23.639999,23.67,23.58,23.639999,10965400,23.617743
2010-02-09,23.549999,23.629999,23.41,23.49,11684600,23.467884
2010-02-10,23.549999,23.639999,23.52,23.559999,6164200,23.537819
2010-02-11,23.6,23.690001,23.52,23.549999,6182500,23.527828
2010-02-12,23.700001,23.74,23.610001,23.629999,4336300,23.607752
2010-02-16,23.59,23.6,23.41,23.43,5956700,23.407942
2010-02-17,23.530001,23.68,23.51,23.65,4796600,23.627735
2010-02-18,23.65,23.73,23.57,23.65,3961800,23.627735
2010-02-19,23.83,23.879999,23.690001,23.719999,5482400,23.697668
2010-02-22,23.66,23.719999,23.639999,23.68,3619000,23.657707
2010-02-23,23.73,23.809999,23.68,23.809999,3647400,23.787584
2010-02-24,23.74,23.780001,23.620001,23.76,5542600,23.737631
2010-02-25,23.85,23.85,23.700001,23.709999,4687800,23.687677
2010-02-26,23.709999,23.74,23.559999,23.639999,4837100,23.617743
2010-03-01,23.790001,23.889999,23.700001,23.719999,6130600,23.697668
2010-03-02,23.709999,23.780001,23.620001,23.65,4698800,23.627735
2010-03-03,23.6,23.620001,23.450001,23.51,6455000,23.487867
2010-03-04,23.57,23.700001,23.559999,23.639999,4037300,23.617743
2010-03-05,23.700001,23.719999,23.620001,23.629999,3555100,23.607752
2010-03-08,23.540001,23.66,23.530001,23.620001,4168100,23.597763
2010-03-09,23.700001,23.709999,23.629999,23.66,2696900,23.637726
2010-03-10,23.67,23.690001,23.58,23.620001,2315800,23.597763
2010-03-11,23.620001,23.66,23.559999,23.57,3525800,23.54781
2010-03-12,23.469999,23.5,23.41,23.42,5689400,23.397951
2010-03-15,23.51,23.6,23.5,23.549999,3116600,23.527828
2010-03-16,23.469999,23.49,23.379999,23.379999,5086700,23.357988
2010-03-17,23.4,23.440001,23.34,23.389999,4740400,23.367979
2010-03-18,23.469999,23.610001,23.450001,23.549999,5246900,23.527828
2010-03-19,23.709999,23.75,23.629999,23.709999,6911200,23.687677
2010-03-22,23.780001,23.790001,23.639999,23.65,4476300,23.627735
2010-03-23,23.73,23.75,23.639999,23.73,3182100,23.707659
2010-03-24,24,24.049999,23.940001,24.049999,6944000,24.027357
2010-03-25,24.01,24.139999,23.959999,24.129999,7722800,24.107283
2010-03-26,24.049999,24.07,23.940001,23.959999,3919600,23.937441
2010-03-29,23.9,23.92,23.84,23.84,3267200,23.817556
2010-03-30,23.84,23.940001,23.83,23.93,6498400,23.907471
2010-03-31,23.790001,23.809999,23.73,23.799999,3890100,23.777592
2010-04-01,23.780001,23.799999,23.66,23.66,3173700,23.637726
2010-04-05,23.75,23.799999,23.719999,23.780001,1792100,23.757612
2010-04-06,23.889999,23.91,23.84,23.85,3353700,23.827547
2010-04-07,23.92,23.93,23.85,23.9,6376200,23.877499
2010-04-08,23.950001,23.969999,23.870001,23.879999,4863200,23.857517
2010-04-09,23.860001,23.870001,23.700001,23.700001,6529400,23.677689
2010-04-12,23.610001,23.629999,23.57,23.6,5244300,23.577782
2010-04-13,23.549999,23.65,23.540001,23.6,3626800,23.577782
2010-04-14,23.530001,23.57,23.440001,23.48,11851800,23.457893
2010-04-15,23.59,23.620001,23.549999,23.57,1795100,23.54781
2010-04-16,23.639999,23.700001,23.6,23.65,3078000,23.627735
2010-04-19,23.77,23.790001,23.690001,23.690001,1276100,23.667698
2010-04-20,23.700001,23.75,23.690001,23.73,1551600,23.707659
2010-04-21,23.75,23.82,23.75,23.780001,3057400,23.757612
2010-04-22,23.85,23.950001,23.85,23.889999,2696600,23.867508
2010-04-23,23.99,23.99,23.809999,23.84,2684800,23.817556
2010-04-26,23.889999,23.92,23.83,23.83,1501400,23.807566
2010-04-27,23.950001,24.120001,23.879999,24.120001,5873800,24.097294
