"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,34017.28125,34037.761719,33423.359375,33495.039063,3500,33495.039063
2010-01-05,33546.238281,33587.199219,32798.71875,32860.160156,3100,32860.160156
2010-01-06,32768,32870.398438,31754.240234,31948.800781,4300,31948.800781
2010-01-07,31948.800781,32071.679688,31047.679688,31047.679688,4000,31047.679688
2010-01-08,31334.400391,31385.599609,30208,30228.480469,3500,30228.480469
2010-01-11,30003.199219,30259.199219,29603.839844,29675.519531,3900,29675.519531
2010-01-12,30382.080078,31354.880859,30044.160156,30607.359375,6000,30607.359375
2010-01-13,30515.199219,31109.119141,29767.679688,30177.279297,4200,30177.279297
2010-01-14,30289.919922,30464,29286.400391,29440,4500,29440
2010-01-15,29706.240234,30760.960938,29470.720703,30218.240234,6800,30218.240234
2010-01-19,30361.599609,30382.080078,28364.800781,28487.679688,5700,28487.679688
2010-01-20,29122.560547,29962.240234,28436.480469,28477.439453,7200,28477.439453
2010-01-21,28467.199219,30187.519531,27944.960938,30023.679688,11100,30023.679688
2010-01-22,30464,33024,29992.960938,32655.359375,11300,32655.359375
2010-01-25,31651.839844,32808.960938,31385.599609,32348.160156,6500,32348.160156
2010-01-26,32737.279297,32788.480469,31272.960938,32481.279297,7300,32481.279297
2010-01-27,32542.720703,33525.761719,31744,31744,8400,31744
2010-01-28,31334.400391,32747.519531,31232,31764.480469,6800,31764.480469
2010-01-29,31252.480469,32952.320313,30842.880859,32399.359375,6600,32399.359375
2010-02-01,31784.960938,31805.439453,30781.439453,30883.839844,3800,30883.839844
2010-02-02,30617.599609,30720,29501.439453,29716.480469,9300,29716.480469
2010-02-03,30095.359375,30105.599609,29286.400391,29829.119141,3600,29829.119141
2010-02-04,30464,33187.839844,30464,33136.640625,9200,33136.640625
2010-02-05,32686.080078,35266.558594,32184.320313,33433.601563,15100,33433.601563
2010-02-08,33443.839844,34242.558594,32880.640625,34109.441406,5500,34109.441406
2010-02-09,33320.960938,34088.960938,32419.839844,33075.199219,6300,33075.199219
2010-02-10,33208.320313,34273.28125,32645.119141,32860.160156,6200,32860.160156
2010-02-11,33177.601563,33873.921875,31887.359375,32153.599609,4700,32153.599609
2010-02-12,33536,33792,32071.679688,32184.320313,4000,32184.320313
2010-02-16,31488,31549.439453,30341.119141,30535.679688,5100,30535.679688
2010-02-17,30279.679688,30371.839844,29634.560547,29634.560547,4600,29634.560547
2010-02-18,29900.800781,29900.800781,28282.880859,28508.160156,6600,28508.160156
2010-02-19,28917.759766,28917.759766,27648,27699.199219,5600,27699.199219
2010-02-22,27412.480469,28129.279297,27054.080078,27463.679688,6200,27463.679688
2010-02-23,27637.759766,28743.679688,27310.080078,27934.720703,7900,27934.720703
2010-02-24,27842.560547,28026.880859,27238.400391,27443.199219,4500,27443.199219
2010-02-25,28293.119141,28897.279297,27381.759766,27381.759766,6700,27381.759766
2010-02-26,27289.599609,27586.560547,26726.400391,26920.960938,4500,26920.960938
2010-03-01,26624,26644.480469,26112,26255.359375,4600,26255.359375
2010-03-02,26030.080078,26234.880859,25712.640625,25958.400391,5300,25958.400391
2010-03-03,25845.759766,26040.320313,25528.320313,25856,7800,25856
2010-03-04,25876.480469,26030.080078,25528.320313,25610.240234,3700,25610.240234
2010-03-05,25415.679688,25600,24340.480469,24586.240234,8700,24586.240234
2010-03-08,24545.279297,24545.279297,23777.279297,24115.199219,12200,24115.199219
2010-03-09,24453.119141,24770.560547,23869.439453,24360.960938,7400,24360.960938
2010-03-10,24289.279297,24473.599609,23736.320313,24463.359375,6200,24463.359375
2010-03-11,24657.919922,25047.039063,24524.800781,24657.919922,6300,24657.919922
2010-03-12,24320,24883.199219,24156.160156,24422.400391,4700,24422.400391
2010-03-15,24586.240234,24893.439453,24340.480469,24473.599609,4200,24473.599609
2010-03-16,24401.919922,24401.919922,23572.480469,23726.080078,6500,23726.080078
2010-03-17,23552,23623.679688,22620.160156,22927.359375,10700,22927.359375
2010-03-18,22917.119141,22937.599609,22497.279297,22609.919922,8600,22609.919922
2010-03-19,22876.160156,23255.039063,22302.720703,22876.160156,9700,22876.160156
2010-03-22,23418.880859,23531.519531,22384.640625,22456.320313,8400,22456.320313
2010-03-23,22394.880859,22661.119141,22005.759766,22026.240234,7400,22026.240234
