"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,57.919998,58.810001,57.790001,58.810001,16928400,48.252995
2010-01-05,58.889999,59.41,58.619999,59.290001,17368100,48.64682
2010-01-06,59.32,60.18,59.189999,60,24351900,49.229382
2010-01-07,59.740002,60.009998,59.299999,59.91,17449500,49.155537
2010-01-08,59.700001,60.349998,59.490002,60.299999,13344300,49.475525
2010-01-11,60.689999,60.869999,59.73,60.220001,19459900,49.409882
2010-01-12,59.299999,59.709999,59.040001,59.349998,21510600,48.69606
2010-01-13,59.32,59.799999,58.52,59.57,22137500,48.876556
2010-01-14,59.560001,59.889999,59.330002,59.740002,15545400,49.016064
2010-01-15,59.669998,59.799999,58.849998,59.259998,19055200,48.622219
2010-01-19,59.099998,59.900002,58.990002,59.799999,14613100,49.065273
2010-01-20,59.16,59.16,58.419998,58.869999,15641700,48.302235
2010-01-21,58.919998,59.099998,57.529999,57.669998,25206600,47.317638
2010-01-22,57.389999,57.720001,56.139999,56.299999,23028600,46.193562
2010-01-25,56.68,57.220001,56.490002,56.669998,15901200,46.497139
2010-01-26,56.200001,57.299999,55.919998,56.310001,21515300,46.201767
2010-01-27,56.150002,56.650002,55.18,56.09,26616700,46.021259
2010-01-28,56.5,56.619999,54.799999,55.5,34430700,45.537167
2010-01-29,55.91,56.459999,54.220001,54.5,32802700,44.716679
2010-02-01,55.150002,56.310001,55.110001,56.299999,21813300,46.193562
2010-02-02,56.509998,57.139999,56.049999,57.040001,22250800,46.800739
2010-02-03,56.880001,57.349998,56.419998,56.549999,19749300,46.398678
2010-02-04,56.099998,56.119999,54.200001,54.23,37173200,44.495148
2010-02-05,54.220001,54.48,52.669998,54.240002,46378400,44.503357
2010-02-08,54.25,54.889999,53.73,53.740002,24115100,44.093124
2010-02-09,54.48,55.560001,54.310001,54.869999,33558100,45.020275
2010-02-10,54.889999,54.98,53.779999,54.639999,24182300,44.831551
2010-02-11,54.529999,55.689999,54.290001,55.57,22944500,45.594612
2010-02-12,54.900002,55.619999,54.540001,55.59,19833900,45.611012
2010-02-16,56.299999,57.099998,56.240002,56.900002,19834900,46.68586
2010-02-17,57.060001,57.18,56.439999,56.82,18137800,46.62022
2010-02-18,56.759998,57.279999,56.48,57.139999,16572700,46.882782
2010-02-19,56.93,57.560001,56.66,57.360001,16498300,47.063282
2010-02-22,57.5,57.509998,56.450001,56.57,17349700,46.415096
2010-02-23,56.299999,56.439999,55.369999,55.630001,21101200,45.643848
2010-02-24,55.610001,56.189999,55.439999,55.98,17630300,45.931011
2010-02-25,55.18,56.040001,54.720001,56.009998,20948100,45.95562
2010-02-26,56.139999,56.34,55.650002,56.139999,17246800,46.062286
