"Index","Open","High","Low","Close","Volume","Adjusted"
2010-01-04,23.139999,23.290001,23.1,23.27,8449400,20.121199
2010-01-05,23.299999,23.299999,23.1,23.24,19988200,20.095264
2010-01-06,23.24,23.25,22.959999,22.98,10024100,19.870443
2010-01-07,23,23,22.809999,22.889999,7292400,19.792622
2010-01-08,22.860001,23.059999,22.780001,23.040001,11886200,19.922321
2010-01-11,23.139999,23.15,22.84,22.950001,15238900,19.844507
2010-01-12,22.82,22.85,22.610001,22.700001,9742800,19.62833
2010-01-13,22.799999,22.950001,22.6,22.92,10053700,19.818563
2010-01-14,22.9,23.059999,22.870001,22.98,7506600,19.870443
2010-01-15,23.02,23.040001,22.59,22.66,13533300,19.593748
2010-01-19,22.709999,23.049999,22.709999,23.049999,7482800,19.930969
2010-01-20,22.870001,22.870001,22.469999,22.68,14699000,19.611038
2010-01-21,22.75,22.860001,22.370001,22.440001,12803400,19.403517
2010-01-22,22.4,22.4,21.629999,21.66,33701200,18.729059
2010-01-25,21.860001,21.98,21.719999,21.84,33340100,18.884705
2010-01-26,21.799999,22.049999,21.68,21.780001,16125300,18.832817
2010-01-27,21.790001,22.01,21.629999,21.959999,17685000,18.988464
2010-01-28,21.85,21.879999,21.24,21.33,23139300,18.443707
2010-01-29,21.530001,21.559999,20.860001,20.959999,26897400,18.123781
2010-02-01,21.059999,21.25,21.049999,21.200001,19207500,18.331305
2010-02-02,21.27,21.469999,21.15,21.41,13695600,18.51289
2010-02-03,21.33,21.51,21.309999,21.459999,14783200,18.556126
2010-02-04,21.33,21.370001,20.84,20.860001,16489100,18.037315
2010-02-05,20.889999,21.110001,20.709999,21.07,23253700,18.218895
2010-02-08,21.1,21.219999,20.950001,20.98,22943800,18.141073
2010-02-09,21.209999,21.360001,21.02,21.16,15887400,18.296717
2010-02-10,21.209999,21.24,20.969999,21.1,10423400,18.244843
2010-02-11,21.1,21.4,20.950001,21.32,15174800,18.435072
2010-02-12,21.17,21.4,21.040001,21.360001,15143000,18.469652
2010-02-16,21.49,21.68,21.43,21.68,10233300,18.746355
2010-02-17,21.780001,21.780001,21.629999,21.74,8903300,18.798233
2010-02-18,21.73,21.92,21.68,21.879999,5763800,18.919291
2010-02-19,21.76,21.93,21.73,21.82,6767800,18.867411
2010-02-22,21.93,21.940001,21.74,21.780001,7037300,18.832817
2010-02-23,21.76,21.77,21.42,21.51,10485700,18.599358
2010-02-24,21.610001,21.790001,21.59,21.719999,7539000,18.780941
2010-02-25,21.440001,21.700001,21.299999,21.66,11657500,18.729059
2010-02-26,21.66,21.75,21.559999,21.690001,9702000,18.754997
2010-03-01,21.799999,21.99,21.76,21.969999,6421800,18.997112
2010-03-02,22.07,22.110001,21.870001,21.940001,7011900,18.971178
2010-03-03,22,22.059999,21.889999,21.950001,8331800,18.979818
2010-03-04,21.98,22.059999,21.82,22.040001,3623800,19.057638
2010-03-05,22.200001,22.34,22.120001,22.309999,7047900,19.291098
2010-03-08,22.35,22.469999,22.32,22.43,5859400,19.394863
2010-03-09,22.4,22.67,22.360001,22.530001,12001900,19.481337
2010-03-10,22.540001,22.719999,22.52,22.68,16908500,19.611038
2010-03-11,22.620001,22.77,22.58,22.77,5453700,19.688862
2010-03-12,22.83,22.959999,22.690001,22.75,7459200,19.671566
2010-03-15,22.67,22.76,22.559999,22.73,8782000,19.654274
2010-03-16,22.73,22.91,22.709999,22.9,6614800,19.801271
2010-03-17,22.93,23.1,22.879999,22.969999,9810500,19.861801
2010-03-18,22.959999,23.049999,22.93,23,4501600,19.887739
2010-03-19,22.790001,23.030001,22.690001,22.790001,9043000,19.768906
2010-03-22,22.68,23.059999,22.66,22.959999,8430800,19.916365
2010-03-23,23.040001,23.200001,22.940001,23.18,5978400,20.107201
2010-03-24,23.07,23.139999,23,23.07,5877100,20.01178
2010-03-25,23.219999,23.379999,23.059999,23.110001,8330200,20.046478
2010-03-26,23.17,23.200001,22.950001,23,8580600,19.951063
